"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"904 1251 CARDERO STREET","VVWWE","$250,000","20","1","1","608","1968","49","Yes","1","$1,065.00","$411.18","$299,000","$250,000","7/25/2017","Yes","PARTIAL OCEAN VIEWS & Mountain"
"802 1251 CARDERO STREET","VVWWE","$270,000","10","1","1","592","1968","49","Yes","1","$358.00","$456.08","$269,000","$270,000","7/28/2017","Yes","ENGLISH BAY AND MOUNTAINS"
"1105 1250 BURNABY STREET","VVWWE","$280,000","11","0","1","430","1968","49",,,"$407.82","$651.16","$289,000","$280,000","5/12/2017","Yes","CITY/MOUNTAIN VIEW"
"2321 1128 W HASTINGS STREET","VVWCB","$309,000","0","0","1","367","2000","17",,,"$0.00","$841.96","$308,000","$309,000","7/17/2017","Yes","COAL HARBOUR & MOUNTAIN"
"1003 1534 HARWOOD STREET","VVWWE","$310,000","10","1","1","550","1967","50",,"0","$541.35","$563.64","$280,000","$310,000","5/22/2017","No",
"402 1534 HARWOOD STREET","VVWWE","$320,000","10","1","1","550","1967","50",,"0","$541.35","$581.82","$300,000","$320,000","5/22/2017","Yes","Water from Balcony & Kitchen"
"512 1128 W HASTINGS STREET","VVWCB","$328,000","5","1","0","286","2000","17",,,"$14.64","$1,146.85","$318,000","$328,000","7/12/2017",,
"804 1330 HARWOOD STREET","VVWWE","$345,000","3","1","1","620","1970","47","Yes","1","$304.83","$556.45","$348,800","$345,000","5/25/2017","Yes","City View"
"1108 1251 CARDERO STREET","VVWWE","$352,000","8","1","1","651","1968","49","Yes","1","$373.00","$540.71","$338,000","$352,000","8/23/2017","Yes","FALSE CREEK, CITY, ENGLISH BAY"
"2320 1128 W HASTINGS STREET","VVWCB","$352,777","4","0","1","367","2000","17",,,"$14.64","$961.25","$359,000","$352,777","8/25/2017","Yes","COAL HARBOUR & MOUNTAIN"
"2911 1128 W HASTINGS STREET","VVWCB","$370,000","8","1","1","398","1997","20",,,"$23.08","$929.65","$348,000","$370,000","8/29/2017","Yes","Mountain & Water"
"2105 1251 CARDERO STREET","VVWWE","$380,000","9","1","1","620","1968","49","Yes","1","$373.00","$612.90","$375,000","$380,000","8/2/2017","Yes","270 degr ocean, mountain, city"
"1808 1251 CARDERO STREET","VVWWE","$390,000","31","1","1","651","1968","49","Yes",,"$373.00","$599.08","$419,000","$390,000","5/20/2017","Yes","AMAZING ENGLISH BAY & CITY"
"1101 789 DRAKE STREET","VVWDT","$399,000","18","0","1","384","1991","26","No","0","$188.94","$1,039.06","$399,000","$399,000","5/7/2017",,"CITY"
"401 1967 BARCLAY STREET","VVWWE","$399,000","7","0","1","428","1969","48","Yes","1","$256.61","$932.24","$399,000","$399,000","6/28/2017","Yes","URBAN OUTLOOK!"
"507 1040 PACIFIC STREET","VVWWE","$408,500","74","1","1","508","1981","36",,,"$243.92","$804.13","$428,000","$408,500","5/12/2017","Yes","PARTIAL VIEW OF WATER"
"307 1040 PACIFIC STREET","VVWWE","$410,000","6","1","1","508","1981","36","Yes","0","$243.92","$807.09","$415,000","$410,000","7/10/2017","No",
"506 1215 PACIFIC STREET","VVWWE","$411,000","9","1","1","453","1976","41","No","1","$196.85","$907.28","$389,000","$411,000","5/10/2017","No",
"502 1189 HOWE STREET","VVWDT","$420,000","7","0","1","405","1999","18","No","0","$202.59","$1,037.04","$398,800","$420,000","5/15/2017",,
"411 1040 PACIFIC STREET","VVWWE","$420,000","13","1","1","508","1982","35","Yes",,"$243.92","$826.77","$429,900","$420,000","8/8/2017","No",
"1901 1330 HARWOOD STREET","VVWWE","$428,000","7","1","1","620","1970","47","Yes","1","$304.83","$690.32","$428,000","$428,000","7/28/2017","Yes","OCEAN & MOUNTAIN"
"111 1940 BARCLAY STREET","VVWWE","$430,000","6","0","1","428","1959","58","Yes","1","$244.16","$1,004.67","$399,000","$430,000","7/25/2017",,
"204 910 BEACH AVENUE","VVWYA","$435,000","13","0","1","442","1997","20","No","1","$260.48","$984.16","$439,900","$435,000","8/3/2017","No",
"501 66 W CORDOVA STREET","VVWDT","$440,000","14","1","1","530","2012","5","Yes",,"$224.09","$830.19","$449,000","$440,000","5/9/2017","Yes","Back Alley"
"406 910 BEACH AVENUE","VVWYA","$440,000","11","0","1","369","1997","20","No","1","$217.38","$1,192.41","$428,000","$440,000","7/7/2017","Yes","Garden Outlook to False Creek"
"103 1050 JERVIS STREET","VVWWE","$445,000","83","1","1","575","1955","62","Yes","0","$264.38","$773.91","$455,500","$445,000","7/23/2017","No",
"604 1108 NICOLA STREET","VVWWE","$445,000","7","1","1","507","1978","39","Yes","1","$278.20","$877.71","$395,000","$445,000","8/15/2017","Yes","NORTH MOUNTAINS"
"314 1040 PACIFIC STREET","VVWWE","$448,000","2","1","1","524","1982","35","Yes",,"$251.67","$854.96","$449,900","$448,000","8/25/2017","Yes","WEST TOWARDS ENGLISH BAY"
"406 501 PACIFIC STREET","VVWDT","$449,900","8","0","1","403","2000","17","Yes","1","$219.99","$1,116.38","$449,900","$449,900","6/13/2017","Yes","Courtyard"
"702 1330 HARWOOD STREET","VVWWE","$450,000","65","2","2","814","1972","45","Yes","1","$395.00","$552.83","$499,000","$450,000","5/17/2017","Yes","City & Mountain view"
"209 1331 ALBERNI STREET","VVWWE","$459,900","7","0","1","400","1999","18",,"1","$212.45","$1,149.75","$459,900","$459,900","6/21/2017","No","BEAUTIFUL TREES"
"301 1146 HARWOOD STREET","VVWWE","$465,000","9","1","1","464","1974","43","Yes",,"$241.11","$1,002.16","$448,800","$465,000","5/17/2017","Yes","Partial water & West End view"
"303 985 JERVIS STREET","VVWWE","$465,000","9","1","1","689","1948","69","Yes",,"$314.00","$674.89","$469,000","$465,000","5/3/2017",,
"2310 1188 RICHARDS STREET","VVWYA","$465,000","8","0","1","400","1995","22","Yes","1","$142.00","$1,162.50","$431,000","$465,000","5/24/2017","Yes","City, Mountain, direct park"
"601 438 SEYMOUR STREET","VVWDT","$470,000","38","1","1","536","1996","21","Yes",,"$375.03","$876.87","$498,999","$470,000","7/27/2017","No",
"1204 1146 HARWOOD STREET","VVWWE","$470,000","45","1","1","466","1973","44","Yes","1","$241.00","$1,008.58","$478,800","$470,000","8/21/2017","Yes","CITY AND MOUNTAIN"
"309 1331 ALBERNI STREET","VVWWE","$470,000","8","0","1","396","1999","18","Yes","1","$212.75","$1,186.87","$449,800","$470,000","8/18/2017","Yes","CITY/STREET VIEW"
"1010 66 W CORDOVA STREET","VVWDT","$472,500","54","1","1","550","2012","5","Yes",,"$224.00","$859.09","$485,000","$472,500","5/27/2017","Yes","NORTH SHORE MTNS / WATER"
