"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"3808 777 RICHARDS STREET","VVWDT","$559,000","17","1","1","569","2016","0","No","1","$282.04","$982.43","$580,000","$559,000","10/18/2015",,
"604 610 GRANVILLE STREET","VVWDT","$559,000","5","1","2","868","2006","9","No","1","$348.13","$644.01","$559,000","$559,000","10/20/2015","No",
"1506 1008 CAMBIE STREET","VVWYA","$560,000","4","1","1","802","1997","18","No","2","$393.40","$698.25","$549,000","$560,000","9/10/2015","Yes","Some to Marina & Yaletown."
"1003 550 PACIFIC STREET","VVWYA","$560,000","3","1","1","750","2005","10","Yes","1","$323.50","$746.67","$568,888","$560,000","10/17/2015","Yes","FALSE CREE, GEORGE WAINBORN"
"2306 111 W GEORGIA STREET","VVWDT","$562,000","6","2","1","816","2007","8",,"1","$345.00","$688.73","$565,000","$562,000","10/15/2015","Yes","City View"
"1603 58 KEEFER PLACE","VVWDT","$562,000","7","2","2","859","2007","8","Yes","1","$392.00","$654.25","$558,000","$562,000","10/5/2015","Yes","False Creek & North Shore Mtns"
"1008 550 PACIFIC STREET","VVWYA","$565,000","37","1","1","759","2005","10","No","1","$328.12","$744.40","$588,000","$565,000","9/4/2015","Yes","FALSE CREEK WATER VIEWS ON EAS"
"901 1211 MELVILLE STREET","VVWCB","$565,000","119","1","1","706","2008","7","Yes","1","$335.63","$800.28","$589,000","$565,000","9/15/2015",,
"203 1225 BARCLAY STREET","VVWWE","$565,000","19","2","2","864","1989","26",,"1","$359.57","$653.94","$557,000","$565,000","9/6/2015","Yes","VIEW TO PRIVATE 692 SQ FT PA"
"1605 907 BEACH AVENUE","VVWYA","$568,000","31","2","2","767","1994","21","No","1","$367.61","$740.55","$588,000","$568,000","11/26/2015","Yes","MOUNTAIN, CITY, OCEAN"
"1907 1323 HOMER STREET","VVWYA","$568,500","49","1","1","745","2013","2",,,"$306.00","$763.09","$599,000","$568,500","11/12/2015","Yes","PARTIAL WATER"
"1708 1133 HORNBY STREET","VVWDT","$569,900","0","1","1","653","2017","0","Yes","1","$182.37","$872.74","$569,900","$569,900","10/9/2015","Yes","CITY"
"2807 1331 W GEORGIA STREET","VVWCB","$570,000","3","1","1","617","1997","18",,"1","$404.25","$923.82","$520,000","$570,000","11/28/2015","Yes","Ocean, Mountains, English Bay"
"908 888 PACIFIC STREET","VVWYA","$570,000","5","2","2","895","1994","21","Yes","1","$409.19","$636.87","$535,000","$570,000","11/10/2015","Yes","WATER, FALSE CREEK, BRIDGES"
"2801 111 W GEORGIA STREET","VVWDT","$571,700","11","2","1","814","2007","8","No","1","$369.25","$702.33","$573,000","$571,700","12/7/2015","Yes","WATER, CITY"
"1302 1133 HOMER STREET","VVWYA","$571,800","4","1","1","649","2008","7",,"1","$285.00","$881.05","$519,900","$571,800","12/14/2015","Yes","CITY VIEW, NORTHWEST"
"1802 930 CAMBIE STREET","VVWYA","$572,000","4","2","2","1,024","1998","17","No","1","$441.78","$558.59","$565,000","$572,000","9/14/2015","Yes","FALSE CREEK"
"501 189 DAVIE STREET","VVWYA","$573,000","18","1","1","722","1999","16","Yes","1","$354.44","$793.63","$599,000","$573,000","11/24/2015","Yes","City View"
"605 1238 SEYMOUR STREET","VVWDT","$574,000","9","1","1","862","1996","19","No","1","$362.25","$665.89","$578,000","$574,000","10/8/2015","Yes","CITY"
"2202 1239 W GEORGIA STREET","VVWCB","$574,000","8","2","2","797","1999","16","Yes","1","$364.33","$720.20","$588,000","$574,000","9/1/2015","Yes","South East"
"1706 833 SEYMOUR STREET","VVWDT","$575,000","9","1","1","733","2011","4","No","1","$239.45","$784.45","$579,900","$575,000","12/11/2015","Yes","SW city views"
"907 950 CAMBIE STREET","VVWYA","$575,100","6","2","2","1,158","1994","21",,,"$515.99","$496.63","$564,900","$575,100","11/29/2015",,
