"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"406 1251 CARDERO STREET","VVWWE","$220,000","37","1","1","442","1965","53","Yes","0","$882.00","$497.74","$225,000","$220,000","3/11/2018",,
"1906 1251 CARDERO STREET","VVWWE","$290,000","42","1","1","442","1964","54","Yes",,"$882.00","$656.11","$323,000","$290,000","4/12/2018",,
"903 1251 CARDERO STREET","VVWWE","$299,900","3","1","1","507","1965","53","Yes","1","$1,101.00","$591.52","$299,900","$299,900","4/19/2018","Yes","PEEKABOO VIEW WATER & MOUNTAIN"
"1105 1100 HARWOOD STREET","VVWWE","$310,500","7","1","1","430","1966","52","No",,"$352.09","$722.09","$289,000","$310,500","3/5/2018","Yes","OPEN VIEW CITY VIEWS/MOUNTAINS"
"1001 1720 BARCLAY STREET","VVWWE","$325,000","56","1","1","560","1970","48","Yes","1","$425.00","$580.36","$324,900","$325,000","3/29/2018","Yes","CITY VIEW"
"101 1743 PENDRELL STREET","VVWWE","$330,000","11","0","1","420","9999","999",,"0",,"$785.71","$309,000","$330,000","2/18/2018",,
"403 1250 BURNABY STREET","VVWWE","$332,000","8","1","1","560","1966","52","No","0","$592.18","$592.86","$350,000","$332,000","1/16/2018","Yes","Mountains & City"
"506 1128 W HASTINGS STREET","VVWCB","$335,000","120","0","1","310","1999","19","No","0","$15.66","$1,080.65","$340,000","$335,000","4/3/2018",,
"808 1250 BURNABY STREET","VVWWE","$340,000","8","1","1","460","1974","44","Yes",,"$454.72","$739.13","$334,999","$340,000","3/27/2018","Yes","Water"
"1507 1850 COMOX STREET","VVWWE","$405,000","39","1","1","607","1968","50","Yes","1","$353.00","$667.22","$399,000","$405,000","1/9/2018","Yes","City Views"
"1401 789 DRAKE STREET","VVWDT","$430,000","5","0","1","384","1990","28","No",,"$188.94","$1,119.79","$438,000","$430,000","2/18/2018","Yes","CITY"
"803 1850 COMOX STREET","VVWWE","$433,000","29","1","1","648","1968","50","Yes","1","$342.00","$668.21","$438,800","$433,000","4/26/2018","Yes","SOME WATER (ENGLISH BAY)"
"404 1330 HARWOOD STREET","VVWWE","$436,000","7","1","1","606","1969","49","Yes","1","$330.73","$719.47","$435,000","$436,000","4/17/2018","No",
