"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"705 1100 HARWOOD STREET","VVWWE","$192,000","147","1","1","433","1965","50",,,"$234.17","$443.42","$199,900","$192,000","7/29/2015","Yes","NORTH-CITY"
"404 1100 HARWOOD STREET","VVWWE","$195,000","27","1","1","430","1966","49","Yes",,"$264.87","$453.49","$199,000","$195,000","7/12/2015","No",
"801 1219 HARWOOD STREET","VVWWE","$200,000","9","1","1","540","1967","48",,,"$354.23","$370.37","$229,000","$200,000","7/3/2015","Yes","CITY AND MOUNTAIN VIEW"
"705 1250 BURNABY STREET","VVWWE","$201,150","14","1","1","430","1966","49",,"0","$403.35","$467.79","$198,000","$201,150","8/31/2015","Yes","SOUTH WEST OCEAN"
"508 1100 HARWOOD AVENUE","VVWWE","$212,000","6","1","1","433","1966","49","Yes",,"$262.35","$489.61","$215,900","$212,000","8/10/2015","Yes","VIEW ENGLISH BAY"
"908 1100 HARWOOD STREET","VVWWE","$215,000","39","1","1","430","1965","50",,,"$262.35","$500.00","$219,900","$215,000","7/7/2015","Yes","VIEW OF ENGLISH BAY & FALSE CREEK"
"406 1330 HARWOOD STREET","VVWWE","$215,000","7","0","1","430","1970","45","Yes",,"$206.95","$500.00","$215,000","$215,000","5/21/2015","Yes","ENGLISH BAY"
"506 1330 HARWOOD STREET","VVWWE","$221,000","4","0","1","430","1973","42","Yes","1","$206.95","$513.95","$224,000","$221,000","6/19/2015","Yes","English Bay and False Creek"
"803 1250 BURNABY STREET","VVWWE","$225,000","41","1","1","540","1966","49",,"0","$527.89","$416.67","$239,000","$225,000","8/20/2015","Yes","Ocean, water, city"
"305 1655 NELSON STREET","VVWWE","$226,000","6","0","1","429","1974","41","Yes","1","$202.82","$526.81","$209,000","$226,000","6/14/2015","No",
"115 1655 NELSON STREET","VVWWE","$227,000","7","1","1","429","1973","42","Yes","0","$202.82","$529.14","$238,900","$227,000","6/1/2015","No",
"503 1330 HORNBY STREET","VVWDT","$228,000","33","0","1","408","1986","29","Yes",,"$177.88","$558.82","$239,900","$228,000","8/16/2015",,
"210 1940 BARCLAY STREET","VVWWE","$230,000","40","0","1","422","1958","57","Yes","1","$195.45","$545.02","$250,000","$230,000","7/28/2015",,
"605 1251 CARDERO STREET","VVWWE","$240,000","160","1","1","620","1967","48","Yes","1","$335.00","$387.10","$259,000","$240,000","8/20/2015","Yes","Peek a boo view to English Bay & Mountains"
"407 1850 COMOX STREET","VVWWE","$245,000","4","1","1","651","1968","47","Yes","1","$332.00","$376.34","$248,500","$245,000","6/17/2015","Yes","TREED & CITY VIEWS"
"803 1333 HORNBY STREET","VVWDT","$245,000","36","0","1","461","1979","36",,"1","$205.09","$531.45","$249,000","$245,000","6/2/2015","No",
"709 950 DRAKE STREET","VVWDT","$250,000","59","0","1","463","1978","37","Yes",,"$185.00","$539.96","$268,900","$250,000","7/17/2015",,
"1001 1250 BURNABY STREET","VVWWE","$253,500","66","1","1","430","1966","49","Yes","0","$405.35","$589.53","$255,000","$253,500","6/11/2015","Yes","South West Ocean"
"906 1330 HORNBY STREET","VVWDT","$259,000","57","0","1","439","1986","29","Yes","1","$186.80","$589.98","$269,000","$259,000","5/24/2015","Yes","CITY & PEEK A BOO TO FALSE CREEK"
"302 910 BEACH AVENUE","VVWYA","$265,000","16","1","1","369","1997","18","No","1","$239.40","$718.16","$279,000","$265,000","7/9/2015","No","NONE SPECIFIED"
"509 1215 PACIFIC STREET","VVWWE","$269,000","17","1","1","508","1976","39","Yes",,"$199.90","$529.53","$249,000","$269,000","8/10/2015","No",
"1105 989 NELSON STREET","VVWDT","$269,900","30","0","1","329","1995","20","Yes","0","$194.58","$820.36","$279,900","$269,900","8/8/2015","Yes","STUNNING PANORAMIC OPEN CITY"
"709 1040 PACIFIC STREET","VVWWE","$270,000","94","1","1","508","1981","34","Yes",,"$232.32","$531.50","$289,900","$270,000","6/7/2015","No",
"601 1108 NICOLA STREET","VVWWE","$274,000","102","0","1","470","1977","38","No","0","$237.59","$582.98","$279,800","$274,000","7/5/2015","Yes","PEEK-A-BOO WATER VIEW"
"1804 1251 CARDERO STREET","VVWWE","$275,000","8","1","1","640","1968","47","Yes","1","$501.00","$429.69","$287,000","$275,000","6/10/2015","Yes","180 DEGREE, ENGLISH BAY, STANL"
"712 950 DRAKE STREET","VVWDT","$280,000","14","1","1","537","1978","37","Yes",,"$246.09","$521.42","$280,000","$280,000","5/19/2015","Yes","COURTYARD"
"212 1055 HARWOOD STREET","VVWWE","$285,000","139","1","1","705","1948","67","Yes","0","$268.99","$404.26","$299,900","$285,000","7/26/2015","Yes","TREE LINED STREET"
"1203 1188 HOWE STREET","VVWDT","$285,000","1","1","1","495","1995","20","Yes","1","$256.14","$575.76","$285,000","$285,000","7/15/2015","Yes","CITY"
"1403 1188 HOWE STREET","VVWDT","$288,000","0","1","1","500","1994","21","Yes","1","$262.55","$576.00","$294,500","$288,000","7/14/2015","Yes","City View"
"1204 1330 HARWOOD STREET","VVWWE","$290,000","22","1","1","620","1970","45","Yes","1","$327.07","$467.74","$299,900","$290,000","7/21/2015",,"NORTH SHORE MTNS - SOME WATER"
"1009 1331 ALBERNI STREET","VVWWE","$295,000","6","0","1","396","1999","16","Yes","1","$201.00","$744.95","$299,500","$295,000","6/19/2015","Yes","PARTIAL VIEW"
"905 1333 HORNBY STREET","VVWDT","$295,000","71","1","1","530","1978","37","No","0","$235.82","$556.60","$298,888","$295,000","7/17/2015","Yes","SW CORNER UNIT LOOKS AT COURTYARD"
"1003 1331 ALBERNI STREET","VVWWE","$295,000","29","0","1","396","1999","16","Yes","1","$200.52","$744.95","$299,000","$295,000","7/21/2015","Yes","Ocean - Coal Harbour and Mountains"
"209 1169 NELSON STREET","VVWWE","$295,000","15","1","1","635","1981","34",,"1","$341.51","$464.57","$299,900","$295,000","8/19/2015","Yes","GARDEN COURTYARD - GREEN SPACE"
"214 1189 HOWE STREET","VVWDT","$295,000","39","0","1","413","1999","16",,"1","$203.34","$714.29","$309,900","$295,000","6/12/2015","Yes","CITY"
"205 1003 BURNABY STREET","VVWWE","$299,000","5","0","1","400","1999","16","Yes",,"$215.00","$747.50","$299,999","$299,000","5/16/2015",,
"713 989 NELSON STREET","VVWDT","$299,000","76","2","1","500","1995","20","Yes","0","$293.05","$598.00","$317,500","$299,000","6/7/2015","Yes","COURTYARD"
"1006 1188 HOWE STREET","VVWDT","$300,000","28","1","1","495","1994","21",,"1","$262.55","$606.06","$318,000","$300,000","8/3/2015",,
"211 1189 HOWE STREET","VVWDT","$300,000","158","0","1","483","1999","16",,"1","$232.67","$621.12","$318,000","$300,000","8/14/2015",,
"1003 1250 BURNABY STREET","VVWWE","$300,000","22","1","1","540","1966","49","No",,"$527.89","$555.56","$299,999","$300,000","6/19/2015","Yes","CITY AND WATER"
"208 1169 NELSON STREET","VVWWE","$300,000","63","1","1","573","1980","35","No","1","$307.35","$523.56","$304,900","$300,000","7/1/2015","No",
"307 1169 NELSON STREET","VVWWE","$302,500","29","1","1","573","1981","34","No","1","$307.35","$527.92","$305,999","$302,500","6/24/2015",,
"908 233 ROBSON STREET","VVWDT","$304,000","4","0","1","439","2009","6","No","0","$160.24","$692.48","$299,900","$304,000","6/22/2015","Yes","City View"
"202 1177 HORNBY STREET","VVWDT","$305,000","26","1","1","628","1994","21","No","1","$294.86","$485.67","$308,888","$305,000","8/23/2015","No",
"602 1188 HOWE STREET","VVWDT","$305,000","7","1","1","549","1995","20","Yes","1","$288.00","$555.56","$305,000","$305,000","5/15/2015","Yes","SOUTHWEST CITY"
"102 1830 ALBERNI STREET","VVWWE","$305,000","22","1","1","544","1976","39","Yes",,"$266.88","$560.66","$289,900","$305,000","8/19/2015","No",
"210 910 BEACH AVENUE","VVWYA","$305,000","12","1","1","399","1997","18","No","1","$225.55","$764.41","$318,000","$305,000","6/27/2015","No",
"907 131 REGIMENT SQUARE","VVWDT","$310,000","21","0","1","510","2007","8","No",,"$238.00","$607.84","$330,000","$310,000","5/27/2015","Yes","City view"
"412 1216 HOMER STREET","VVWYA","$310,500","81","0","1","454","1997","18",,,"$251.51","$683.92","$314,900","$310,500","8/8/2015","Yes","COMMON ROOF AREA"
"409 1080 PACIFIC STREET","VVWWE","$312,800","28","1","1","508","1981","34","Yes","1","$255.46","$615.75","$316,800","$312,800","5/8/2015","Yes","ENGLISH BAY"
