"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"903 1128 W HASTINGS STREET","VVWCB","$220,000","71","1","1","295","1999","17",,,"$17.80","$745.76","$228,000","$220,000","9/21/2016",,
"1706 1251 CARDERO STREET","VVWWE","$230,000","8","0","1","505","1968","48","Yes","1","$287.00","$455.45","$229,900","$230,000","11/15/2016","Yes","CITY, MOUNTAINS & SOME WATER"
"1906 1251 CARDERO STREET","VVWWE","$230,000","12","1","1","435","1964","52","Yes","1","$312.00","$528.74","$239,000","$230,000","11/14/2016","Yes","DT CITY & FALSE CREEK"
"802 1128 W HASTINGS STREET","VVWCB","$248,000","169","1","1","360","2000","16",,,"$0.00","$688.89","$249,900","$248,000","10/21/2016","Yes","City"
"404 1251 CARDERO STREET","VVWWE","$250,000","12","1","1","694","1968","48","Yes","1","$373.00","$360.23","$234,900","$250,000","12/3/2016","Yes","CITY OUTLOOK SOME WATER"
"908 1250 BURNABY STREET","VVWWE","$258,000","1","1","1","430","1968","48","Yes","1","$407.82","$600.00","$258,000","$258,000","10/5/2016","Yes","Ocean & City"
"308 1251 CARDERO STREET","VVWWE","$280,000","8","1","1","612","1968","48","Yes","0","$373.00","$457.52","$299,900","$280,000","12/1/2016",,
"2205 1251 CARDERO STREET","VVWWE","$290,000","17","1","1","592","1968","48","Yes","1","$373.00","$489.86","$299,000","$290,000","10/1/2016","Yes","WATER, MOUNTAIN, CITY"
"303 1100 HARWOOD STREET","VVWWE","$295,000","6","1","1","543","1966","50",,,"$372.27","$543.28","$278,000","$295,000","9/27/2016","Yes","OVER TREE LINED HARWOOD STREET"
"207 1940 BARCLAY STREET","VVWWE","$311,000","5","0","1","400","1959","57","Yes",,"$213.30","$777.50","$298,000","$311,000","9/20/2016",,
"209 1879 BARCLAY STREET","VVWWE","$340,000","1","1","1","645","1955","61","Yes","1","$343.00","$527.13","$358,000","$340,000","10/17/2016","Yes","TREE LINED OUTLOOK"
"1007 1850 COMOX STREET","VVWWE","$354,500","9","1","1","651","1968","48","Yes","1","$332.00","$544.55","$349,900","$354,500","9/7/2016","Yes","CITY VIEWS"
"710 1189 HOWE STREET","VVWDT","$370,000","25","0","1","412","1999","17","No","1","$206.30","$898.06","$380,000","$370,000","11/29/2016","No",
"314 1189 HOWE STREET","VVWDT","$372,000","19","0","1","480","1999","17","No","0","$250.00","$775.00","$375,000","$372,000","10/15/2016","No",
"211 1080 BROUGHTON STREET","VVWWE","$375,000","5","1","1","603","1983","33","Yes","1","$205.62","$621.89","$388,000","$375,000","9/20/2016","No",
"701 1967 BARCLAY STREET","VVWWE","$375,000","0","0","1","428","1969","47","Yes",,"$256.61","$876.17","$369,900","$375,000","9/27/2016","Yes","STANLEY PARK & N SHORE MTNS"
"606 1010 HOWE STREET","VVWDT","$379,000","4","1","1","478","1983","33","Yes",,"$264.32","$792.89","$389,900","$379,000","9/11/2016","Yes","CITY"
"810 1333 W GEORGIA STREET","VVWCB","$385,900","5","0","1","422","2006","10","Yes",,"$212.15","$914.45","$385,900","$385,900","9/11/2016","Yes","CITY"
"1802 1188 RICHARDS STREET","VVWYA","$388,000","15","0","1","400","1995","21","No","1","$140.86","$970.00","$378,000","$388,000","10/1/2016","Yes","UNOBSTRUCTED PARK VIEW"
"103 1740 COMOX STREET","VVWWE","$389,000","12","1","1","730","1976","40","Yes","1","$358.93","$532.88","$350,000","$389,000","10/19/2016","No",
"304 1155 SEYMOUR STREET","VVWDT","$390,000","15","0","1","470","2005","11","Yes","0","$210.09","$829.79","$395,000","$390,000","9/21/2016","Yes","PARK VIEW"
"302 1189 HOWE STREET","VVWDT","$390,000","7","0","1","410","1999","17","No","1","$200.19","$951.22","$399,000","$390,000","9/27/2016","No",
"406 233 ABBOTT STREET","VVWDT","$391,400","33","0","1","538","1996","20","No",,"$227.88","$727.51","$418,800","$391,400","10/31/2016",,
"311 1274 BARCLAY STREET","VVWWE","$395,000","8","1","1","720","1980","36","No","1","$255.63","$548.61","$399,000","$395,000","9/22/2016","Yes","TREE LINED STREET"
"909 1331 ALBERNI STREET","VVWWE","$395,000","6","0","1","400","1999","17","Yes","1","$252.00","$987.50","$419,900","$395,000","10/24/2016","Yes","CITYSCAPE"
