"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"801 1250 BURNABY STREET","VVWWE","$260,000","7","0","1","430","1966","52",,,"$454.72","$604.65","$249,000","$260,000","8/16/2018","Yes","Water"
"1105 1251 CARDERO STREET","VVWWE","$268,000","3","1","1","592","1965","53","Yes","0","$1,147.00","$452.70","$268,000","$268,000","10/6/2018","Yes","CITY"
"604 1250 BURNABY STREET","VVWWE","$270,000","64","0","1","405","1967","51","No","0","$449.44","$666.67","$279,900","$270,000","8/11/2018","Yes","North Shore Mountains and City"
"1606 1330 HARWOOD STREET","VVWWE","$304,000","0","0","1","417","1970","48","Yes","1","$237.96","$729.02","$299,000","$304,000","11/2/2018","Yes","English Bay & False Creek"
"602 1219 HARWOOD STREET","VVWWE","$306,000","7","1","1","550","1969","49",,,"$341.33","$556.36","$299,900","$306,000","9/17/2018","Yes","ENGLISH BAY FROM ROOFTOP DECK"
"502 1219 HARWOOD STREET","VVWWE","$319,999","41","1","1","550","1965","53","No","0","$341.33","$581.82","$338,800","$319,999","12/3/2018","Yes","VIEW COMMON ROOF TOP DECK"
"904 1534 HARWOOD STREET","VVWWE","$320,000","119","1","1","550","1967","51","Yes","0","$570.10","$581.82","$345,000","$320,000","11/19/2018","Yes","English Bay"
"502 1720 BARCLAY STREET","VVWWE","$320,000","8","1","1","624","1969","49","Yes","1","$425.00","$512.82","$340,000","$320,000","10/10/2018","No","EAST"
"206 1100 HARWOOD STREET","VVWWE","$325,000","2","1","1","531","1966","52","No",,"$382.00","$612.05","$349,000","$325,000","8/13/2018","No",
"401 1251 CARDERO STREET","VVWWE","$333,800","11","1","1","650","1968","50","Yes","1","$1,358.00","$513.54","$299,000","$333,800","6/19/2018","Yes","English Bay and Mountains"
"702 1219 HARWOOD STREET","VVWWE","$335,000","35","1","1","550","1967","51","No","0","$343.51","$609.09","$339,000","$335,000","11/13/2018","Yes","WATER"
"1206 1250 BURNABY STREET","VVWWE","$340,000","15","1","1","550","1966","52",,,"$592.18","$618.18","$349,000","$340,000","8/24/2018","Yes","City"
"402 1250 BURNABY STREET","VVWWE","$340,500","7","1","1","560","1966","52",,,"$597.48","$608.04","$339,000","$340,500","7/21/2018","Yes","ENGLISH BAY"
"802 1250 BURNABY STREET","VVWWE","$349,000","15","1","1","550","1966","52",,,"$597.48","$634.55","$349,000","$349,000","8/24/2018","Yes","Water"
"1908 1850 COMOX STREET","VVWWE","$355,000","129","1","1","531","1968","50","Yes",,"$353.00","$668.55","$370,000","$355,000","11/15/2018","Yes","CITY"
"401 1330 HARWOOD STREET","VVWWE","$355,401","7","1","1","620","1970","48","Yes","1","$330.73","$573.23","$329,000","$355,401","11/12/2018","Yes","ENGLISH BAY"
"102 1100 HARWOOD STREET","VVWWE","$362,000","2","1","1","570","1966","52",,,"$471.71","$635.09","$359,000","$362,000","12/10/2018",,
"307 1855 NELSON STREET","VVWWE","$365,000","70","1","1","528","1977","41","Yes","1","$240.00","$691.29","$419,900","$365,000","9/24/2018","No",
"301 1743 PENDRELL STREET","VVWWE","$370,000","126","1","1","621","1955","64","No","1","$319.89","$595.81","$369,000","$370,000","12/20/2018","No",
"101 1940 BARCLAY STREET","VVWWE","$380,000","5","0","1","401","1959","59","Yes","1","$233.51","$947.63","$390,000","$380,000","5/23/2018","No",
"908 1330 HARWOOD STREET","VVWWE","$380,000","12","1","1","620","1969","49","Yes","1","$330.73","$612.90","$379,000","$380,000","9/8/2018","Yes","BEAUTIFUL VIEW OF ENGLISH BAY"
"1508 1251 CARDERO STREET","VVWWE","$390,000","5","1","1","651","1965","53","Yes","1","$378.00","$599.08","$375,000","$390,000","6/4/2018","Yes","Stunning ocean views"
"805 1330 HARWOOD STREET","VVWWE","$390,000","18","1","1","620","1970","48","Yes","1","$330.73","$629.03","$425,000","$390,000","10/3/2018","Yes","ENGLISH BAY AND FALSE CREEK"
"101 1720 BARCLAY STREET","VVWWE","$391,000","21","1","1","601","1970","48","Yes","1","$425.00","$650.58","$399,000","$391,000","9/3/2018","No",
"109 1879 BARCLAY STREET","VVWWE","$392,500","7","1","1","625","1957","61","Yes","1","$291.96","$628.00","$389,900","$392,500","11/7/2018",,
"1805 1850 COMOX STREET","VVWWE","$410,000","8","1","1","538","1968","50","Yes","1","$313.00","$762.08","$441,000","$410,000","5/4/2018","Yes","English Bay and Stanley Park"
"102 1050 JERVIS STREET","VVWWE","$415,000","8","1","1","533","1954","64","No",,"$268.25","$778.61","$420,000","$415,000","10/24/2018","No",
"2007 1238 SEYMOUR STREET","VVWDT","$419,000","2","0","1","331","1996","22","Yes","0","$152.50","$1,265.86","$419,000","$419,000","9/13/2018","Yes","CITY / FALSE CREEK"
"2701 1128 W HASTINGS STREET","VVWCB","$425,000","13","0","1","320","2000","18","No","0","$24.02","$1,328.13","$455,000","$425,000","10/11/2018","Yes","CITY VIEW"
"1007 1003 PACIFIC STREET","VVWWE","$438,000","44","0","1","422","1998","20","No","1","$219.28","$1,037.91","$449,000","$438,000","8/31/2018","Yes","City & Mountains"
"710 1189 HOWE STREET","VVWDT","$440,000","11","0","1","412","1999","19","No","1","$221.70","$1,067.96","$443,900","$440,000","12/2/2018","Yes","STREET VIEW"
"401 1333 HORNBY STREET","VVWDT","$450,000","30","1","1","467","1979","39",,,"$227.86","$963.60","$499,000","$450,000","10/31/2018",,
"PH7 1040 PACIFIC STREET","VVWWE","$455,000","23","1","1","526","1981","37","Yes",,"$243.92","$865.02","$488,000","$455,000","9/19/2018","Yes","City, English Bay"
"306 1040 PACIFIC STREET","VVWWE","$458,000","8","1","1","508","1982","36","Yes",,"$243.92","$901.57","$465,000","$458,000","10/9/2018",,
"521 1040 PACIFIC STREET","VVWWE","$465,000","28","1","1","524","1982","36","Yes",,"$251.67","$887.40","$475,000","$465,000","10/2/2018","Yes","Peek-a-boo of English Bay"
"304 910 BEACH AVENUE","VVWYA","$468,000","9","0","1","442","1997","21","No","1","$284.20","$1,058.82","$480,000","$468,000","7/13/2018","No",
"205 1975 PENDRELL STREET","VVWWE","$471,000","10","1","1","694","1957","61","Yes","0","$342.24","$678.67","$449,000","$471,000","10/28/2018","Yes","PEEK-A-BOO BAY VIEW"
"1503 63 KEEFER PLACE","VVWDT","$475,000","23","0","1","433","1999","19","Yes","1","$255.00","$1,097.00","$480,000","$475,000","8/31/2018","Yes","WATER, MOUNTAIN, CITY"
"211 1189 HOWE STREET","VVWDT","$480,000","8","0","1","484","1999","19","No","1","$256.00","$991.74","$488,000","$480,000","7/5/2018",,
"410 1216 HOMER STREET","VVWYA","$493,000","3","0","1","512","1997","21","Yes","0","$291.00","$962.89","$500,000","$493,000","6/25/2018",,
"404 1212 HOWE STREET","VVWDT","$495,000","39","1","1","430","2008","10","No","0","$184.52","$1,151.16","$518,000","$495,000","7/15/2018",,
"1205 1188 HOWE STREET","VVWDT","$497,000","18","1","1","495","1994","24","Yes","1","$262.55","$1,004.04","$499,000","$497,000","11/26/2018","Yes","NICE CITY VIEWS"
"510 939 HOMER STREET","VVWYA","$497,000","34","0","1","439","1997","21","Yes","1","$219.39","$1,132.12","$523,000","$497,000","9/16/2018","No","WATER & CITY"
"2003 1188 HOWE STREET","VVWDT","$499,800","17","1","1","511","1994","24",,"1","$256.14","$978.08","$499,800","$499,800","5/31/2018","Yes","CITY VIEW"
"103 1367 ALBERNI STREET","VVWWE","$500,000","6","0","1","410","1999","19","Yes","1","$245.82","$1,219.51","$479,000","$500,000","6/4/2018",,
"202 1133 HARWOOD STREET","VVWWE","$500,000","23","1","1","819","1983","35","Yes","1","$273.89","$610.50","$548,000","$500,000","9/7/2018",,
"503 501 PACIFIC STREET","VVWDT","$500,000","7","0","1","400","1999","19","Yes","1","$226.87","$1,250.00","$508,000","$500,000","6/4/2018","Yes","PARK & PEEK-A-BOO WATER"
"407 969 RICHARDS STREET","VVWDT","$500,000","40","0","1","420","2002","16","Yes","0","$218.02","$1,190.48","$515,000","$500,000","10/6/2018","No","No"
"606 233 ABBOTT STREET","VVWDT","$500,000","6","1","1","538","1996","22",,"0","$227.88","$929.37","$468,000","$500,000","6/11/2018",,
"412 989 NELSON STREET","VVWDT","$500,000","8","1","1","500","1995","23","Yes","0","$324.26","$1,000.00","$499,900","$500,000","5/15/2018",,
"210 1106 PACIFIC STREET","VVWWE","$504,500","38","1","1","541","1984","34","Yes","1","$213.09","$932.53","$549,000","$504,500","8/16/2018",,
"206 985 JERVIS STREET","VVWWE","$505,000","15","1","1","713","1948","70","Yes",,"$345.40","$708.27","$519,000","$505,000","9/25/2018","No","Trees"
"505 1003 BURNABY STREET","VVWWE","$506,500","8","0","1","397","1999","19","Yes","1","$249.12","$1,275.82","$498,000","$506,500","6/13/2018","Yes","City"
"506 1295 RICHARDS STREET","VVWDT","$507,500","38","1","1","475","2003","15","Yes",,"$200.26","$1,068.42","$538,900","$507,500","8/23/2018",,
"906 1040 PACIFIC STREET","VVWWE","$510,000","8","1","1","507","1982","36","Yes",,"$243.92","$1,005.92","$459,000","$510,000","5/30/2018","Yes","ENGLISH BAY"
"709 66 W CORDOVA STREET","VVWDT","$512,500","21","1","1","540","2012","6","Yes","0","$236.05","$949.07","$519,000","$512,500","11/6/2018",,
"1208 989 RICHARDS STREET","VVWDT","$514,000","4","0","1","466","2002","16","Yes",,"$240.38","$1,103.00","$525,000","$514,000","9/28/2018","Yes","City View"
"210 1331 ALBERNI STREET","VVWWE","$514,000","9","1","1","474","1999","19","Yes","1","$284.66","$1,084.39","$524,000","$514,000","10/4/2018","No",
"804 1050 BURRARD STREET","VVWDT","$515,000","19","0","1","470","1994","24","Yes","1","$229.19","$1,095.74","$535,000","$515,000","10/13/2018","Yes","COURTYARD - FOUNTAIN - CHURCH"
"2 1053 NICOLA STREET","VVWWE","$517,000","35","1","1","704","1986","32","Yes","1","$359.12","$734.38","$539,900","$517,000","5/2/2018","No",
"308 1331 ALBERNI STREET","VVWWE","$518,000","32","1","1","464","1999","19","Yes","1","$278.17","$1,116.38","$549,800","$518,000","7/17/2018",,
"2008 501 PACIFIC STREET","VVWDT","$518,000","25","0","1","422","1999","19","Yes","1","$233.78","$1,227.49","$532,900","$518,000","10/6/2018","Yes","City views"
"508 1238 RICHARDS STREET","VVWYA","$519,000","12","1","1","496","1998","20","Yes",,"$252.28","$1,046.37","$519,000","$519,000","5/21/2018","No",
"1006 1295 RICHARDS STREET","VVWDT","$520,000","6","0","1","475","2003","15","Yes","0","$200.26","$1,094.74","$499,000","$520,000","8/13/2018",,
"807 1330 HARWOOD STREET","VVWWE","$520,000","7","2","1","777","1970","48","Yes","1","$402.34","$669.24","$429,000","$520,000","11/12/2018","Yes","ENGLISH BAY & FALSE CREEK"
"509 989 NELSON STREET","VVWDT","$520,000","46","1","1","495","1995","23","Yes","0","$315.41","$1,050.51","$525,000","$520,000","6/29/2018","Yes","CITY"
"607 888 PACIFIC STREET","VVWYA","$521,500","13","1","1","529","1994","24","Yes","1","$261.65","$985.82","$529,000","$521,500","8/21/2018","Yes","WATER, ENGLISH BAY"
"909 131 REGIMENT SQUARE","VVWDT","$522,000","24","1","1","502","2007","11",,"0","$247.33","$1,039.84","$525,000","$522,000","7/6/2018","Yes","CITY VIEWS"
"402 969 RICHARDS STREET","VVWDT","$522,500","47","0","1","420","2002","17","Yes","1","$218.02","$1,244.05","$529,000","$522,500","12/18/2018","Yes","Southwest City View"
"708 1330 HARWOOD STREET","VVWWE","$525,000","7","1","1","620","1970","48","Yes","1","$330.73","$846.77","$535,000","$525,000","6/21/2018","Yes","AWESOME VIEW OF ENGLISH BAY"
"708 910 BEACH AVENUE","VVWYA","$525,000","3","0","1","435","1997","21","No","1","$258.86","$1,206.90","$475,000","$525,000","5/17/2018",,
"506 989 NELSON STREET","VVWDT","$528,000","26","1","1","494","1995","23","Yes",,"$315.00","$1,068.83","$575,000","$528,000","8/5/2018","Yes","PARK VIEW"
"603 969 RICHARDS STREET","VVWDT","$528,000","9","0","1","424","2002","16","Yes",,"$212.43","$1,245.28","$528,000","$528,000","5/16/2018","Yes","Courtyard and City"
"2001 938 SMITHE STREET","VVWDT","$529,000","13","0","1","463","2005","13","Yes","0","$202.63","$1,142.55","$538,000","$529,000","6/5/2018","Yes","City"
"1705 1367 ALBERNI STREET","VVWWE","$529,000","10","0","1","445","1999","19","Yes","1","$265.21","$1,188.76","$539,000","$529,000","5/3/2018","Yes","CITY & PEEK A BOO WATER VIEW"
"3210 939 HOMER STREET","VVWYA","$530,000","3","1","1","450","1997","21","Yes",,"$220.89","$1,177.78","$529,000","$530,000","9/6/2018","Yes","City views"
"1601 928 BEATTY STREET","VVWYA","$530,000","7","0","1","460","2005","13",,"1","$262.69","$1,152.17","$534,800","$530,000","5/21/2018","Yes","CITY"
"102 1350 COMOX STREET","VVWWE","$530,000","6","1","1","603","1982","36","Yes","1","$220.37","$878.94","$555,000","$530,000","8/14/2018","Yes","COURTYARD, GARDENS"
"606 939 HOMER STREET","VVWYA","$530,000","25","0","1","455","1998","20","Yes","1","$221.27","$1,164.84","$530,000","$530,000","5/4/2018","Yes","CITY"
"712 1333 HORNBY STREET","VVWDT","$532,500","6","1","1","477","1979","39","No","0","$227.86","$1,116.35","$553,000","$532,500","9/19/2018","Yes","CITY AND PARTIAL WATER"
"705 66 W CORDOVA STREET","VVWDT","$533,000","2","1","1","540","2012","6","Yes","0","$236.05","$987.04","$533,000","$533,000","9/5/2018","Yes","City views"
"203 1177 HORNBY STREET","VVWDT","$535,000","14","1","1","665","1995","23","No","1","$315.27","$804.51","$548,000","$535,000","11/12/2018","No",
"304 1246 CARDERO STREET","VVWWE","$538,000","9","1","1","767","1950","68","Yes","0","$329.00","$701.43","$509,000","$538,000","5/16/2018","Yes","tree lined street"
"307 969 RICHARDS STREET","VVWDT","$539,900","23","0","1","420","2002","16","Yes","1","$218.02","$1,285.48","$548,000","$539,900","7/1/2018",,
"908 1177 HORNBY STREET","VVWDT","$540,000","27","1","1","651","1995","23","No","1","$315.27","$829.49","$560,000","$540,000","10/23/2018","Yes","PARTIAL WATER, MOUNTAIN, CITY"
"809 1889 ALBERNI STREET","VVWWE","$540,000","13","1","1","433","1998","20",,"1","$339.42","$1,247.11","$570,000","$540,000","10/22/2018","Yes","LOST LAGOON, STANLEY PARK"
"609 33 W PENDER STREET","VVWDT","$540,000","100","1","1","625","2009","10",,"1","$360.00","$864.00","$579,000","$540,000","12/19/2018",,
"3201 928 BEATTY STREET","VVWYA","$540,000","60","0","1","461","2005","13","No","1","$262.69","$1,171.37","$579,900","$540,000","8/28/2018","Yes","YALETOWN, CITY & FALSE CREEK"
"803 501 PACIFIC STREET","VVWDT","$540,000","20","0","1","410","2000","18","Yes","1","$228.12","$1,317.07","$544,900","$540,000","5/13/2018","Yes","False Creek Water & Park"
"802 438 SEYMOUR STREET","VVWDT","$542,000","17","1","1","574","1996","22","Yes","1","$415.82","$944.25","$558,000","$542,000","9/28/2018","Yes","CITY VIEW"
"507 1155 SEYMOUR STREET","VVWDT","$543,000","5","0","1","418","2006","12","Yes","0","$197.10","$1,299.04","$543,000","$543,000","9/15/2018","Yes","CITY, EMERY BARNES PARK & POOL"
"1511 938 SMITHE STREET","VVWDT","$543,500","4","0","1","448","2005","13","Yes",,"$197.91","$1,213.17","$558,000","$543,500","9/15/2018","Yes","CITY VIEW"
"304 1177 HORNBY STREET","VVWDT","$545,000","28","1","1","706","1994","25","Yes","1","$341.85","$771.95","$569,000","$545,000","12/11/2018","Yes","CITY"
"1905 1225 RICHARDS STREET","VVWDT","$550,000","13","0","1","414","2004","14","Yes","1","$189.15","$1,328.50","$569,000","$550,000","9/19/2018","Yes","EAST TO FALSE CREEK"
"304 1108 NICOLA STREET","VVWWE","$550,000","56","1","1","507","1975","43","Yes","1","$306.02","$1,084.81","$565,000","$550,000","7/20/2018","No",
"2407 1155 SEYMOUR STREET","VVWDT","$550,000","65","0","1","418","2006","12","Yes","0","$187.15","$1,315.79","$563,000","$550,000","7/11/2018","Yes","City, Partly Mtn, Burr Inlet"
