Address,SubArea,Price,DaysOnMarket,Bedrooms,Bathrooms,FloorArea,YearBuilt,Age,Locker,Parking,MaintenanceFees,SalePricePerSquareFoot,List Price,Sold Price,Sold Date,View,VwSpecify,ValueOfView,ValueOfSubArea,Sold Timestamp
1103 1155 HOMER STREET,VVWYA,438000,26.0,1.0,1.0,705.0,1994.0,20,1.0,1.0,2.9037,6.2128,44.88,43.8,2014-10-04,Yes,"CITY, WATER",2.0,4.0,1412380800.0
1504 108 W CORDOVA STREET,VVWDT,438000,47.0,1.0,1.0,710.0,2009.0,5,0.0,0.0,3.6628,6.169,45.9,43.8,2014-10-11,Yes,SE,1.0,2.0,1412985600.0
3007 833 SEYMOUR STREET,VVWDT,438000,27.0,1.0,1.0,587.0,2011.0,3,0.0,1.0,1.8986,7.4616999999999996,45.8,43.8,2014-07-29,Yes,CITY,2.0,2.0,1406592000.0
2307 909 MAINLAND STREET,VVWYA,438000,6.0,1.0,1.0,586.0,2007.0,7,0.0,0.0,2.4,7.4744,43.9,43.8,2014-10-15,,,0.0,4.0,1413331200.0
1801 918 COOPERAGE WAY,VVWYA,438000,12.0,1.0,1.0,658.0,2009.0,5,0.0,1.0,2.8888,6.656499999999999,43.8,43.8,2014-10-05,Yes,CITY SKYLINE,2.0,4.0,1412467200.0
1902 969 RICHARDS STREET,VVWDT,438000,22.0,1.0,1.0,635.0,2002.0,12,1.0,1.0,2.6345,6.8976,44.5,43.8,2014-07-22,Yes,CITY VIEWS,2.0,2.0,1405987200.0
1910 938 SMITHE STREET,VVWDT,439000,9.0,1.0,1.0,629.0,2005.0,9,0.0,1.0,2.4238999999999997,6.979299999999999,44.99,43.9,2014-08-23,Yes,"N/W CORNER, EXPANSIVE CITY VIEWS, S/W OUTLOOK FROM SOLARIUM",2.0,2.0,1408752000.0
3011 928 BEATTY STREET,VVWYA,439000,20.0,1.0,1.0,615.0,2005.0,9,0.0,1.0,3.0976999999999997,7.1382,44.9,43.9,2014-10-22,Yes,CITY & PARTIAL WATER VIEW,2.0,4.0,1413936000.0
1807 1001 HOMER STREET,VVWYA,439988,4.0,1.0,1.0,606.0,2005.0,9,0.0,1.0,2.4777,7.2604999999999995,43.99,43.9988,2014-07-21,Yes,DOWNTOWN,1.0,4.0,1405900800.0
3404 1288 W GEORGIA STREET,VVWWE,440000,43.0,1.0,1.0,614.0,1998.0,16,1.0,1.0,3.2001999999999997,7.1661,44.9,44.0,2014-11-18,,,0.0,3.0,1416268800.0
1705 811 HELMCKEN STREET,VVWDT,440000,33.0,2.0,2.0,758.0,1995.0,19,0.0,1.0,2.9556,5.8047,44.5,44.0,2014-07-19,Yes,CITY,2.0,2.0,1405728000.0
202 1001 RICHARDS STREET,VVWDT,440000,6.0,1.0,1.0,574.0,2004.0,10,1.0,1.0,2.7488,7.6655,44.5,44.0,2014-09-15,No,,-1.0,2.0,1410739200.0
306 1252 HORNBY STREET,VVWDT,440000,4.0,1.0,1.0,799.0,2008.0,6,0.0,1.0,3.9031000000000002,5.506900000000001,44.89,44.0,2014-08-01,,,0.0,2.0,1406851200.0
803 1725 PENDRELL STREET,VVWWE,440000,1.0,1.0,1.0,625.0,1974.0,40,1.0,1.0,3.2867,7.04,44.8,44.0,2014-07-05,Yes,"OCEAN, SUNSETS, ENGLISH BAY",3.0,3.0,1404518400.0
1205 1009 HARWOOD STREET,VVWWE,440900,27.0,1.0,1.0,565.0,2014.0,0,0.0,1.0,2.3174,7.8035000000000005,45.9,44.09,2014-12-10,Yes,FALSE CREEK & GRANVILLE ISLAND MARINA VIEWS,1.0,3.0,1418169600.0
804 550 TAYLOR STREET,VVWDT,442000,189.0,2.0,2.0,785.0,2005.0,9,1.0,1.0,3.3655,5.630599999999999,45.9,44.2,2014-11-20,,,0.0,2.0,1416441600.0
303 1274 BARCLAY STREET,VVWWE,442800,42.0,2.0,1.0,814.0,1979.0,35,0.0,1.0,2.5856,5.4398,44.7,44.28,2014-08-13,No,,-1.0,3.0,1407888000.0
201 1924 COMOX STREET,VVWWE,444000,29.0,1.0,1.0,852.0,1987.0,27,0.0,1.0,3.55,5.2113,45.5,44.4,2014-09-03,Yes,PEEK-A-BOO OF ENGLISH BAY,1.0,3.0,1409702400.0
2703 1239 W GEORGIA STREET,VVWCB,444000,25.0,1.0,1.0,675.0,2000.0,14,1.0,1.0,3.0,6.5778,45.9,44.4,2014-07-12,Yes,CITY LIGHTS - WATER,2.0,1.0,1405123200.0
2209 909 MAINLAND STREET,VVWYA,445000,19.0,1.0,1.0,668.0,2007.0,7,1.0,1.0,2.73,6.6617,44.9,44.5,2014-10-29,,,0.0,4.0,1414540800.0
PH10 933 SEYMOUR STREET,VVWDT,445000,8.0,1.0,1.0,654.0,1998.0,16,1.0,1.0,2.0665999999999998,6.8043,44.8,44.5,2014-10-01,Yes,EAST & SOUTH CITY VIEWS,2.0,2.0,1412121600.0
1401 2055 PENDRELL STREET,VVWWE,445000,18.0,1.0,1.0,686.0,1965.0,49,0.0,1.0,4.3929,6.4869,44.99,44.5,2014-10-03,Yes,ENGLISH BAY WATER & CITY VIEWS,2.0,3.0,1412294400.0
202 1230 HAMILTON STREET,VVWYA,445000,237.0,1.0,1.0,796.0,1993.0,20,0.0,0.0,2.9033999999999995,5.5905,45.5,44.5,2014-08-05,,,0.0,4.0,1407196800.0
615 1088 RICHARDS STREET,VVWYA,445000,6.0,1.0,1.0,674.0,2011.0,3,0.0,1.0,2.5838,6.6024,44.9,44.5,2014-07-06,,,0.0,4.0,1404604800.0
401 183 KEEFER PLACE,VVWDT,445000,37.0,2.0,1.0,954.0,1995.0,19,0.0,1.0,4.2414,4.6646,47.99,44.5,2014-10-08,Yes,CITY LIGHTS,2.0,2.0,1412726400.0
407 822 HOMER STREET,VVWDT,445000,10.0,2.0,2.0,820.0,1999.0,15,1.0,1.0,3.7858,5.426799999999999,44.88,44.5,2014-09-18,No,,-1.0,2.0,1410998400.0
1302 1277 NELSON STREET,VVWWE,446000,13.0,1.0,1.0,744.0,1995.0,19,1.0,1.0,3.0589999999999997,5.9946,44.9,44.6,2014-08-04,Yes,"STUNNING MOUNTAIN, WATER & CITY VIEWS",2.0,3.0,1407110400.0
407 1333 W GEORGIA STREET,VVWCB,446000,10.0,1.0,1.0,670.0,1969.0,45,0.0,1.0,3.0376,6.6567,44.9,44.6,2014-09-21,,"YES, COAL HARBOUR",0.0,1.0,1411257600.0
1808 1189 HOWE STREET,VVWDT,446000,5.0,2.0,2.0,792.0,1999.0,15,0.0,1.0,3.86,5.6312999999999995,44.8,44.6,2014-09-18,Yes,MOUNTAIN & CITY,2.0,2.0,1410998400.0
303 888 HAMILTON STREET,VVWDT,446500,35.0,2.0,1.0,817.0,1994.0,20,1.0,1.0,2.7963,5.4651,46.9,44.65,2014-11-24,,,0.0,2.0,1416787200.0
1806 1199 SEYMOUR STREET,VVWDT,448000,47.0,1.0,1.0,650.0,2005.0,9,1.0,1.0,2.9145,6.8923000000000005,45.9,44.8,2014-09-01,Yes,CITY & PARK,2.0,2.0,1409529600.0
507 1333 W GEORGIA STREET,VVWCB,448000,157.0,1.0,1.0,670.0,1969.0,45,0.0,0.0,3.0376,6.686599999999999,45.9,44.8,2014-12-26,Yes,CITY,2.0,1.0,1419552000.0
605 980 COOPERAGE WAY,VVWYA,448100,9.0,1.0,1.0,729.0,2008.0,6,0.0,1.0,3.4279,6.1468,44.8,44.81,2014-09-27,Yes,PARTIAL WATER VIEW,3.0,4.0,1411776000.0
808 1333 W GEORGIA STREET,VVWCB,449000,97.0,1.0,1.0,670.0,1969.0,45,1.0,1.0,3.0376,6.701499999999999,46.9,44.9,2014-11-02,,,0.0,1.0,1414886400.0
906 1225 RICHARDS STREET,VVWDT,449000,6.0,1.0,1.0,592.0,2004.0,10,1.0,1.0,2.3725,7.5845,45.6,44.9,2014-07-28,Yes,CITY VIEW,2.0,2.0,1406505600.0
1101 1009 HARWOOD STREET,VVWWE,449900,43.0,1.0,1.0,649.0,2014.0,0,1.0,1.0,2.2624,6.9322,44.99,44.99,2014-07-23,Yes,MOUNTAIN,2.0,3.0,1406073600.0
3501 233 ROBSON STREET,VVWDT,450000,22.0,1.0,1.0,638.0,2009.0,5,0.0,1.0,2.2815,7.0533,45.88,45.0,2014-09-24,Yes,"CITY, WATER & MOUNTAINS",2.0,2.0,1411516800.0
2509 939 HOMER STREET,VVWYA,450000,33.0,2.0,1.0,771.0,1997.0,17,1.0,1.0,3.4748,5.8366,46.4888,45.0,2014-12-23,Yes,BREATHTAKING CITY FROM 25TH F,2.0,4.0,1419292800.0
1005 833 SEYMOUR STREET,VVWDT,450000,27.0,1.0,1.0,714.0,2011.0,3,0.0,0.0,2.2784,6.3025,45.13,45.0,2014-11-04,Yes,SOUTHERN VIEW OF DOWNTOWN CITYSCAPE,2.0,2.0,1415059200.0
1306 928 HOMER STREET,VVWYA,450000,86.0,1.0,1.0,656.0,2006.0,8,1.0,1.0,2.7188,6.8598,45.9,45.0,2014-07-26,Yes,CITY,2.0,4.0,1406332800.0
608 1003 BURNABY STREET,VVWWE,450000,2.0,2.0,1.0,702.0,1999.0,15,1.0,1.0,3.8047000000000004,6.410299999999999,45.9,45.0,2014-10-22,Yes,NORTH SHORE MOUNTAINS,2.0,3.0,1413936000.0
2506 788 HAMILTON STREET,VVWDT,451000,6.0,1.0,1.0,630.0,2009.0,5,0.0,1.0,2.24,7.1587,44.88,45.1,2014-08-25,,,0.0,2.0,1408924800.0
2806 1199 SEYMOUR STREET,VVWDT,452000,49.0,1.0,1.0,650.0,2005.0,9,0.0,1.0,2.82,6.9538,47.89,45.2,2014-07-21,Yes,CITY AND WATER,2.0,2.0,1405900800.0
3302 1009 EXPO BOULEVARD,VVWYA,452000,27.0,1.0,1.0,722.0,1997.0,17,0.0,0.0,3.5195999999999996,6.2604,46.9,45.2,2014-10-29,Yes,CITY & WATER,2.0,4.0,1414540800.0
1503 1055 RICHARDS STREET,VVWDT,452800,285.0,1.0,1.0,578.0,2008.0,6,1.0,0.0,2.2,7.8339,45.28,45.28,2014-12-27,Yes,CITY,2.0,2.0,1419638400.0
2311 788 HAMILTON STREET,VVWDT,453000,6.0,1.0,1.0,743.0,2009.0,5,0.0,1.0,2.7405,6.096900000000001,46.88,45.3,2014-11-26,Yes,SOME HARBOUR AND WATER VIEW,3.0,2.0,1416960000.0
2303 1325 ROLSTON STREET,VVWDT,453000,140.0,1.0,1.0,581.0,2013.0,1,0.0,1.0,2.1124,7.796900000000001,46.8,45.3,2014-08-21,Yes,CITY & WATER,2.0,2.0,1408579200.0
205 1188 RICHARDS STREET,VVWYA,453000,25.0,2.0,1.0,732.0,1995.0,19,0.0,1.0,2.3877,6.1885,46.99,45.3,2014-08-09,No,,-1.0,4.0,1407542400.0
3609 1009 EXPO BOULEVARD,VVWYA,453800,8.0,1.0,1.0,677.0,1997.0,17,0.0,1.0,3.285,6.703099999999999,45.5,45.38,2014-08-21,Yes,CITY AND NORTH SHORE MOUNTAINS,2.0,4.0,1408579200.0
601 1315 CARDERO STREET,VVWWE,454000,7.0,1.0,1.0,620.0,1957.0,57,1.0,0.0,2.4643,7.3225999999999996,42.9,45.4,2014-08-25,Yes,"WATER, MOUNTAIN & CITY FROM DECK",2.0,3.0,1408924800.0
1704 1010 BURNABY STREET,VVWWE,454000,54.0,2.0,2.0,970.0,1990.0,24,1.0,3.0,4.7172,4.680400000000001,53.8,45.4,2014-08-25,Yes,"CITY, MOUNTAINS, PEEK-A-BOO WATER",2.0,3.0,1408924800.0
1806 1068 HORNBY STREET,VVWDT,455000,55.0,2.0,2.0,745.0,2000.0,14,1.0,1.0,3.3622,6.1074,47.5,45.5,2014-07-22,Yes,CITY,2.0,2.0,1405987200.0
808 1239 W GEORGIA STREET,VVWCB,455000,2.0,1.0,1.0,687.0,1999.0,15,0.0,1.0,3.0058999999999996,6.622999999999999,48.58,45.5,2014-10-04,Yes,"WATER, CITY AND MOUNTAIN VIEWS",2.0,1.0,1412380800.0
1106 888 HOMER STREET,VVWDT,455000,62.0,1.0,1.0,678.0,2011.0,3,1.0,1.0,3.9800999999999997,6.7109000000000005,48.9,45.5,2014-10-27,Yes,CITYSCAPE,2.0,2.0,1414368000.0
1506 833 SEYMOUR STREET,VVWDT,455000,119.0,1.0,1.0,733.0,2011.0,3,0.0,0.0,2.3474,6.2074,46.5,45.5,2014-11-11,Yes,BEAUTIFUL SW CITY VIEWS,2.0,2.0,1415664000.0
1311 833 SEYMOUR STREET,VVWDT,455000,15.0,1.0,1.0,654.0,2011.0,3,0.0,1.0,2.1057,6.9572,46.4,45.5,2014-11-21,Yes,NW CITY VIEWS OVER GRANVILLE,2.0,2.0,1416528000.0
2010 928 BEATTY STREET,VVWYA,455000,10.0,1.0,1.0,660.0,2005.0,9,1.0,1.0,3.3150999999999997,6.8938999999999995,45.9,45.5,2014-11-06,Yes,GREAT VIEWS OF FALSE CREEK,1.0,4.0,1415232000.0
405 1133 HOMER STREET,VVWYA,455000,17.0,2.0,1.0,714.0,2008.0,6,0.0,1.0,2.7241000000000004,6.3725,45.9,45.5,2014-09-14,No,,-1.0,4.0,1410652800.0
2302 1033 MARINASIDE CRESCENT,VVWYA,455000,6.0,1.0,1.0,582.0,2002.0,12,0.0,1.0,2.3888,7.8179,45.28,45.5,2014-09-07,Yes,CITY AND WATER,2.0,4.0,1410048000.0
302 488 HELMCKEN STREET,VVWYA,455000,44.0,2.0,2.0,872.0,1995.0,19,1.0,0.0,3.5,5.217899999999999,47.8,45.5,2014-09-07,,,0.0,4.0,1410048000.0
1205 928 BEATTY STREET,VVWYA,455000,0.0,2.0,1.0,702.0,2005.0,9,0.0,1.0,3.4781,6.4815,46.8,45.5,2014-09-22,Yes,WATER & CITY,2.0,4.0,1411344000.0
2303 1188 RICHARDS STREET,VVWYA,455000,113.0,2.0,1.0,758.0,1995.0,19,0.0,1.0,2.5164,6.0026,47.9,45.5,2014-08-13,Yes,CITY AND MOUNTAIN,2.0,4.0,1407888000.0
402 1252 HORNBY STREET,VVWDT,456900,7.0,1.0,1.0,678.0,2008.0,6,0.0,1.0,3.279,6.7389,45.88,45.69,2014-08-25,,,0.0,2.0,1408924800.0
2502 1288 W GEORGIA STREET,VVWWE,458000,54.0,1.0,1.0,689.0,1996.0,18,1.0,1.0,3.5858,6.6473,46.4,45.8,2014-09-28,Yes,"MOUNTAIN, WATER & CITY",2.0,3.0,1411862400.0
902 788 RICHARDS STREET,VVWDT,458000,30.0,1.0,1.0,802.0,2008.0,6,0.0,1.0,4.6,5.7107,47.8,45.8,2014-10-18,No,,-1.0,2.0,1413590400.0
2001 602 CITADEL PARADE,VVWDT,459000,98.0,2.0,1.0,816.0,2007.0,7,0.0,1.0,3.7305,5.625,46.8,45.9,2014-09-26,Yes,NOT SPECIFIED,1.0,2.0,1411689600.0
403 531 BEATTY STREET,VVWDT,459000,4.0,1.0,1.0,659.0,2007.0,7,1.0,2.0,3.2855000000000003,6.9651,46.5,45.9,2014-11-03,Yes,MOUNTAIN AND CITY VIEW,2.0,2.0,1414972800.0
2010 928 BEATTY STREET,VVWYA,459000,37.0,1.0,1.0,660.0,2005.0,9,1.0,1.0,3.3150999999999997,6.9545,46.9,45.9,2014-07-19,Yes,"CITY, FALSE CREEK",2.0,4.0,1405728000.0
1004 811 HELMCKEN STREET,VVWDT,459000,9.0,2.0,2.0,853.0,1995.0,19,1.0,1.0,3.9949,5.381,46.58,45.9,2014-08-15,Yes,CITY VIEWS,2.0,2.0,1408060800.0
2205 938 SMITHE STREET,VVWDT,459000,52.0,1.0,1.0,701.0,2005.0,9,0.0,1.0,2.67,6.5478,46.99,45.9,2014-08-08,,,0.0,2.0,1407456000.0
304 1288 W GEORGIA STREET,VVWWE,460000,97.0,2.0,1.0,805.0,1998.0,16,1.0,1.0,4.2861,5.7143,47.88,46.0,2014-10-07,Yes,DOWNTOWN/COURTYARD,1.0,3.0,1412640000.0
1908 788 HAMILTON STREET,VVWDT,460000,62.0,1.0,1.0,781.0,2009.0,5,0.0,1.0,2.7758999999999996,5.8899,48.8,46.0,2014-09-21,Yes,CITY AND MOUNTAINS,2.0,2.0,1411257600.0
1608 1199 SEYMOUR STREET,VVWDT,461000,6.0,1.0,1.0,640.0,2004.0,10,1.0,1.0,2.866,7.203099999999999,44.9,46.1,2014-08-11,Yes,"GORGEOUS CITY, MOUNTAINS & SOME FALSE CREEK",2.0,2.0,1407715200.0
2712 833 SEYMOUR STREET,VVWDT,462000,144.0,1.0,1.0,630.0,2011.0,3,0.0,1.0,2.35,7.3333,47.0,46.2,2014-09-30,Yes,NORTH FACING,1.0,2.0,1412035200.0
101 1331 ALBERNI STREET,VVWWE,463000,6.0,2.0,1.0,654.0,1999.0,15,1.0,1.0,3.14,7.0795,47.99,46.3,2014-11-29,No,,-1.0,3.0,1417219200.0
1806 1372 SEYMOUR STREET,VVWDT,463000,30.0,1.0,1.0,564.0,2013.0,1,1.0,1.0,2.0173,8.2092,46.99,46.3,2014-07-14,Yes,SE VIEW OF FALSE CREEK,1.0,2.0,1405296000.0
2001 111 W GEORGIA STREET,VVWDT,465000,42.0,2.0,1.0,816.0,2007.0,7,0.0,1.0,3.6138999999999997,5.6985,48.8,46.5,2014-08-15,Yes,WATER & CITY & MOUNTAINS,2.0,2.0,1408060800.0
1901 989 BEATTY STREET,VVWYA,465000,7.0,1.0,1.0,698.0,2004.0,10,1.0,1.0,2.8964999999999996,6.6619,47.8,46.5,2014-08-26,Yes,CITY & MOUNTAINS,2.0,4.0,1409011200.0
504 1225 BARCLAY STREET,VVWWE,465000,174.0,2.0,2.0,810.0,1989.0,25,0.0,1.0,3.4495,5.7407,47.5,46.5,2014-11-26,No,,-1.0,3.0,1416960000.0
2003 1188 RICHARDS STREET,VVWYA,465000,88.0,2.0,1.0,758.0,1995.0,19,0.0,1.0,2.5164,6.134600000000001,47.9,46.5,2014-10-03,Yes,YALETOWN & MOUNTAINS,2.0,4.0,1412294400.0
201 1220 BARCLAY STREET,VVWWE,465000,34.0,2.0,2.0,827.0,1987.0,27,0.0,1.0,2.9608999999999996,5.6227,47.4,46.5,2014-11-12,,,0.0,3.0,1415750400.0
2505 1408 STRATHMORE MEWS,VVWYA,465000,10.0,1.0,1.0,583.0,2003.0,11,0.0,1.0,2.3672999999999997,7.976,47.9,46.5,2014-11-27,Yes,"ENGLISH BAY, FALSE CREEK & PARK",1.0,4.0,1417046400.0
1605 838 W HASTINGS STREET,VVWDT,467600,17.0,1.0,1.0,601.0,2011.0,3,0.0,1.0,3.2881,7.780399999999999,51.5,46.76,2014-12-14,Yes,CITY VIEW,2.0,2.0,1418515200.0
2005 233 ROBSON STREET,VVWDT,468000,30.0,1.0,1.0,738.0,2009.0,5,0.0,1.0,2.52,6.3415,45.9,46.8,2014-08-09,Yes,"WATER, CITY VIEW",2.0,2.0,1407542400.0
2606 1372 SEYMOUR STREET,VVWDT,468000,42.0,1.0,1.0,565.0,2013.0,1,0.0,1.0,2.0561000000000003,8.2832,47.99,46.8,2014-07-16,Yes,STUNNING CITY & WATER VIEW,2.0,2.0,1405468800.0
904 907 BEACH AVENUE,VVWYA,469000,22.0,2.0,2.0,759.0,1994.0,20,0.0,1.0,3.398,6.1792,47.9,46.9,2014-09-16,Yes,"CITY, PARK AND WATER",2.0,4.0,1410825600.0
1606 111 W GEORGIA STREET,VVWDT,470000,4.0,2.0,1.0,816.0,2007.0,7,0.0,1.0,3.5663,5.7598,47.9,47.0,2014-08-18,,,0.0,2.0,1408320000.0
1003 821 CAMBIE STREET,VVWDT,470000,22.0,1.0,1.0,679.0,2008.0,6,0.0,1.0,2.5558,6.921900000000001,47.89,47.0,2014-07-29,Yes,CITY VIEWS,2.0,2.0,1406592000.0
1505 788 RICHARDS STREET,VVWDT,470000,36.0,1.0,1.0,651.0,2008.0,6,0.0,1.0,3.6115,7.2197000000000005,48.88,47.0,2014-07-08,Yes,CITY AND MOUNTAINS,2.0,2.0,1404777600.0
301 1350 COMOX STREET,VVWWE,470000,56.0,2.0,2.0,837.0,1983.0,31,1.0,1.0,2.588,5.6152999999999995,48.9,47.0,2014-08-20,,,0.0,3.0,1408492800.0
2102 1238 SEYMOUR STREET,VVWDT,470000,11.0,1.0,1.0,567.0,1996.0,18,1.0,1.0,2.2592,8.2892,47.9,47.0,2014-10-03,Yes,STUNNING PANORAMA OF ENGLISH BAY AND CITY,2.0,2.0,1412294400.0
1303 588 BROUGHTON STREET,VVWCB,470000,29.0,1.0,1.0,589.0,1995.0,19,1.0,1.0,2.9169,7.9796000000000005,47.9,47.0,2014-07-04,Yes,"OCEAN, MARINA, MOUNTAIN",2.0,1.0,1404432000.0
403 811 HELMCKEN STREET,VVWDT,470000,101.0,2.0,2.0,863.0,1995.0,19,0.0,1.0,4.0383,5.4461,48.8888,47.0,2014-08-15,,,0.0,2.0,1408060800.0
2508 1308 HORNBY STREET,VVWDT,470000,28.0,1.0,1.0,573.0,2014.0,0,0.0,1.0,2.1246,8.2024,47.99,47.0,2014-11-26,Yes,CITY / WATER / MOUNTAIN,2.0,2.0,1416960000.0
205 1220 BARCLAY STREET,VVWWE,470500,4.0,2.0,2.0,828.0,1987.0,27,0.0,1.0,2.965,5.6824,47.4,47.05,2014-07-26,No,,-1.0,3.0,1406332800.0
1105 1330 HORNBY STREET,VVWDT,471000,2.0,2.0,1.0,731.0,1986.0,28,1.0,0.0,3.1088,6.443200000000001,46.5,47.1,2014-07-12,Yes,WATER AND CITY,2.0,2.0,1405123200.0
414 1088 RICHARDS STREET,VVWYA,472000,28.0,1.0,1.0,738.0,2011.0,3,1.0,1.0,2.8299000000000003,6.395700000000001,47.49,47.2,2014-10-28,,,0.0,4.0,1414454400.0
202 1238 BURRARD STREET,VVWDT,472500,3.0,2.0,2.0,753.0,2003.0,11,0.0,1.0,3.94,6.2749,47.9,47.25,2014-11-16,Yes,GREEN,1.0,2.0,1416096000.0
302 546 BEATTY STREET,VVWDT,472500,29.0,1.0,1.0,765.0,2008.0,6,0.0,1.0,2.8289,6.1765,48.5,47.25,2014-07-14,,,0.0,2.0,1405296000.0
2108 131 REGIMENT SQUARE,VVWDT,472800,43.0,2.0,2.0,810.0,2007.0,7,0.0,1.0,3.7379000000000002,5.837000000000001,48.8,47.28,2014-09-30,Yes,"CITY, MOUNTAIN",2.0,2.0,1412035200.0
806 1155 HOMER STREET,VVWYA,473000,14.0,1.0,1.0,722.0,1995.0,19,0.0,1.0,3.0748,6.5512,47.99,47.3,2014-12-01,Yes,NORTH EAST CORNER VIEW,1.0,4.0,1417392000.0
2501 989 BEATTY STREET,VVWYA,475000,35.0,1.0,1.0,700.0,2004.0,10,1.0,1.0,2.8964999999999996,6.7857,51.8,47.5,2014-10-07,Yes,VIBRANT CITY VIEWS,2.0,4.0,1412640000.0
1502 939 HOMER STREET,VVWYA,475000,2.0,2.0,1.0,771.0,1997.0,17,1.0,1.0,3.4748,6.1608,47.5,47.5,2014-11-08,Yes,CITY VIEW,2.0,4.0,1415404800.0
2106 1308 HORNBY STREET,VVWDT,475000,3.0,1.0,1.0,655.0,2014.0,0,0.0,1.0,2.48,7.251900000000001,48.8,47.5,2014-08-23,Yes,EXPANSIVE CITYSCAPE & SOME WATER VIEWS,2.0,2.0,1408752000.0
1706 989 BEATTY STREET,VVWYA,475000,52.0,1.0,1.0,732.0,2004.0,10,1.0,1.0,2.852,6.4891,48.8,47.5,2014-08-07,,,0.0,4.0,1407369600.0
1704 833 SEYMOUR STREET,VVWDT,475000,37.0,1.0,1.0,682.0,2011.0,3,0.0,1.0,2.17,6.9648,48.19,47.5,2014-11-26,Yes,VIBRANT CITY VIEWS,2.0,2.0,1416960000.0
906 822 HOMER STREET,VVWDT,475000,17.0,2.0,2.0,778.0,1999.0,15,1.0,1.0,3.49,6.1053999999999995,48.8,47.5,2014-07-25,Yes,"CORNER LOT, NORTH, NORTH EAST",1.0,2.0,1406246400.0
1501 833 HOMER STREET,VVWDT,476000,19.0,1.0,1.0,644.0,2010.0,4,0.0,1.0,2.6,7.3913,48.8,47.6,2014-07-26,Yes,NW CITY VIEWS & PEEK-A-BOO MTN,2.0,2.0,1406332800.0
1903 1188 W PENDER STREET,VVWCB,477500,39.0,1.0,1.0,610.0,2008.0,6,1.0,1.0,2.8229,7.8279,50.99,47.75,2014-11-29,Yes,NORTH SHORE MOUNTAINS& CITY,2.0,1.0,1417219200.0
502 1351 CONTINENTAL STREET,VVWDT,477900,39.0,1.0,1.0,633.0,2014.0,0,0.0,1.0,2.4909,7.5498,47.79,47.79,2014-08-04,Yes,CITY VIEW,2.0,2.0,1407110400.0
1303 821 CAMBIE STREET,VVWDT,478000,11.0,1.0,1.0,679.0,2008.0,6,0.0,1.0,2.5558,7.0398000000000005,48.39,47.8,2014-08-19,Yes,CITY VIEWS,2.0,2.0,1408406400.0
2103 555 JERVIS STREET,VVWCB,480000,37.0,1.0,1.0,589.0,1996.0,18,1.0,1.0,2.9169,8.1494,49.9888,48.0,2014-08-13,Yes,"GORGEOUS CITY, MARINA, OCEAN",2.0,1.0,1407888000.0
718 161 W GEORGIA STREET,VVWDT,480000,16.0,1.0,1.0,795.0,2012.0,2,0.0,1.0,3.8073,6.0377,49.9,48.0,2014-07-18,Yes,CITY,2.0,2.0,1405641600.0
2210 788 HAMILTON STREET,VVWDT,480000,88.0,1.0,1.0,733.0,2009.0,5,0.0,1.0,2.58,6.5484,49.8,48.0,2014-08-09,Yes,"CITY, WATER & MOUNTAINS",2.0,2.0,1407542400.0
1708 131 REGIMENT SQUARE,VVWDT,480000,52.0,2.0,2.0,810.0,2007.0,7,0.0,1.0,3.78,5.9259,48.99,48.0,2014-10-05,Yes,WEST FACING OVER LOOKING CITY,2.0,2.0,1412467200.0
1508 63 KEEFER PLACE,VVWDT,485000,44.0,2.0,2.0,895.0,2000.0,14,1.0,1.0,4.4201,5.419,52.9,48.5,2014-07-09,Yes,"MOUNTAIN, CITY, FALSE CREEK",2.0,2.0,1404864000.0
1802 1033 MARINASIDE CRESCENT,VVWYA,485000,2.0,1.0,1.0,582.0,2002.0,12,0.0,0.0,2.3295,8.333300000000001,48.88,48.5,2014-11-13,Yes,"CITY, FALSE CREEK, MOUNTAINS",2.0,4.0,1415836800.0
3004 833 SEYMOUR STREET,VVWDT,485000,276.0,1.0,1.0,682.0,2011.0,3,0.0,1.0,2.1748,7.1114,49.9888,48.5,2014-11-30,No,,-1.0,2.0,1417305600.0
309 1295 RICHARDS STREET,VVWDT,486000,34.0,2.0,2.0,747.0,2003.0,11,0.0,1.0,2.8,6.506,49.5,48.6,2014-09-09,Yes,"CITY VIEW, THE GRACE BUILDING",2.0,2.0,1410220800.0
2805 1239 W GEORGIA STREET,VVWCB,488000,60.0,1.0,1.0,609.0,1999.0,15,1.0,1.0,2.7070999999999996,8.0131,49.98,48.8,2014-07-20,Yes,"COAL HARBOUR, MOUNTAINS, CITY",2.0,1.0,1405814400.0
603 1200 ALBERNI STREET,VVWWE,488000,5.0,2.0,2.0,888.0,1996.0,18,0.0,1.0,3.8485,5.4955,48.0,48.8,2014-09-06,,,0.0,3.0,1409961600.0
601 1495 RICHARDS STREET,VVWYA,489000,8.0,1.0,1.0,740.0,2004.0,10,1.0,1.0,3.16,6.608099999999999,49.9,48.9,2014-08-26,Yes,PARTIAL WATER,3.0,4.0,1409011200.0
304 546 BEATTY STREET,VVWDT,490000,14.0,1.0,1.0,785.0,2009.0,5,0.0,1.0,2.6409,6.242000000000001,49.9,49.0,2014-07-21,Yes,SMALL MOUNTAIN VIEW,2.0,2.0,1405900800.0
