Address,SubArea,Price,DaysOnMarket,Bedrooms,Bathrooms,FloorArea,YearBuilt,Age,Locker,Parking,MaintenanceFees,SalePricePerSquareFoot,List Price,Sold Price,Sold Date,View,VwSpecify,ValueOfView,ValueOfSubArea,Sold Timestamp
308 950 DRAKE STREET,VVWDT,229900,10.0,0.0,1.0,455.0,1978.0,36,1.0,0.0,1.8132,5.0527,22.99,22.99,2014-05-02,,,0.0,2.0,1398988800.0
704 1250 BURNABY STREET,VVWWE,230000,25.0,0.0,1.0,430.0,1968.0,46,0.0,0.0,3.97,5.3488,23.8,23.0,2014-04-04,Yes,CITY AND MOUNTAINS,2.0,3.0,1396569600.0
1008 1250 BURNABY STREET,VVWWE,230000,31.0,1.0,1.0,430.0,1968.0,46,1.0,1.0,3.97,5.3488,24.8,23.0,2014-06-05,Yes,"SOUTH, EAST & WEST OCEAN VIEWS",3.0,3.0,1401926400.0
916 950 DRAKE STREET,VVWDT,231500,27.0,0.0,1.0,463.0,1978.0,36,1.0,0.0,1.845,5.0,23.9,23.15,2014-05-08,Yes,CITY,2.0,2.0,1399507200.0
508 950 DRAKE STREET,VVWDT,235000,65.0,0.0,1.0,461.0,1978.0,36,1.0,0.0,1.8092,5.0976,23.99,23.5,2014-05-15,Yes,CITY,2.0,2.0,1400112000.0
1004 1330 HARWOOD STREET,VVWWE,235000,46.0,1.0,1.0,620.0,1970.0,44,1.0,1.0,3.2,3.7903,25.9,23.5,2014-03-02,Yes,MOUNTAIN & CITY VIEW,2.0,3.0,1393718400.0
707 1720 BARCLAY STREET,VVWWE,236000,8.0,1.0,1.0,638.0,1970.0,44,1.0,1.0,3.85,3.6991,23.99,23.6,2014-05-20,Yes,MOUNTAIN & SOME WATER VIEWS,2.0,3.0,1400544000.0
405 989 NELSON STREET,VVWDT,238000,16.0,0.0,1.0,330.0,1995.0,19,1.0,0.0,1.9494,7.2121,24.4888,23.8,2014-05-14,,,0.0,2.0,1400025600.0
805 989 NELSON STREET,VVWDT,240000,174.0,0.0,1.0,329.0,1995.0,18,1.0,0.0,1.9494,7.2948,24.48,24.0,2014-03-11,Yes,"CITY, WALL CENTRE, GARDENS",2.0,2.0,1394496000.0
1206 1330 HARWOOD STREET,VVWWE,240000,43.0,0.0,1.0,430.0,1970.0,44,1.0,1.0,2.02,5.5813999999999995,25.8,24.0,2014-05-14,Yes,UNOBSTRUCTED OCEAN VIEWS,3.0,3.0,1400025600.0
1105 1250 BURNABY STREET,VVWWE,240500,28.0,1.0,1.0,430.0,1968.0,46,1.0,1.0,3.928,5.593,24.8,24.05,2014-06-30,Yes,CITY & MOUNTAIN VIEWS,2.0,3.0,1404086400.0
211 1216 HOMER STREET,VVWYA,248000,40.0,0.0,1.0,395.0,1912.0,102,0.0,0.0,1.6953,6.2785,25.99,24.8,2014-04-01,No,OUTLOOK ON HISTORIC YALETOWN,-1.0,4.0,1396310400.0
521 1040 PACIFIC STREET,VVWWE,250000,18.0,1.0,1.0,508.0,1982.0,32,0.0,1.0,1.92,4.9213,26.0,25.0,2014-03-04,Yes,ENGLISH BAY,1.0,3.0,1393891200.0
807 1003 PACIFIC STREET,VVWWE,253000,13.0,0.0,1.0,422.0,1998.0,16,0.0,1.0,2.0672,5.995299999999999,26.25,25.3,2014-03-17,Yes,CITY,2.0,3.0,1395014400.0
904 1333 HORNBY STREET,VVWDT,256500,33.0,0.0,1.0,450.0,1979.0,35,0.0,1.0,1.9977,5.7,26.9,25.65,2014-06-30,Yes,CITY OUTLOOK,2.0,2.0,1404086400.0
108 1975 PENDRELL STREET,VVWWE,256500,53.0,0.0,1.0,420.0,1957.0,57,1.0,1.0,2.0947,6.1071,25.99,25.65,2014-05-02,,,0.0,3.0,1398988800.0
1002 1720 BARCLAY STREET,VVWWE,260000,25.0,1.0,1.0,638.0,1970.0,43,1.0,1.0,3.85,4.0752,27.9,26.0,2014-01-03,Yes,"CITY, WATER",2.0,3.0,1388707200.0
505 438 SEYMOUR STREET,VVWDT,260000,73.0,1.0,1.0,538.0,1997.0,17,0.0,0.0,3.4514,4.8327,27.9,26.0,2014-05-10,,,0.0,2.0,1399680000.0
