"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"617 1128 W HASTINGS STREET","VVWCB","$135,000","426","1","1","285","1997","16",,,"$9.50","$473.68","$149,800","$135,000","1/29/2015","Yes","OUTDOOR PATIO"
"2003 1128 W HASTINGS STREET","VVWCB","$160,000","129","1","1","293","1999","15",,,"$14.53","$546.08","$168,000","$160,000","4/19/2015","Yes","WATER & MOUNTAIN"
"309 1055 HARWOOD STREET","VVWWE","$166,500","88","0","1","412","1955","59","Yes","0","$162.50","$404.13","$173,000","$166,500","1/3/2015","Yes","TREED GARDEN OUTLOOK"
"206 1565 BURNABY STREET","VVWWE","$190,000","94","0","1","440","1947","67","Yes",,"$176.00","$431.82","$198,000","$190,000","1/25/2015",,
"303 1219 HARWOOD STREET","VVWWE","$195,000","0","1","1","550","1967","48",,"0","$348.16","$354.55","$195,000","$195,000","1/10/2015","No",
"306 1565 BURNABY STREET","VVWWE","$205,000","78","0","1","440","1947","68","Yes","0","$180.00","$465.91","$209,900","$205,000","3/31/2015",,
"206 1215 PACIFIC STREET","VVWWE","$205,000","13","0","1","400","1977","38","Yes",,"$168.00","$512.50","$224,900","$205,000","1/28/2015","Yes","ENGLISH BAY/BURRARD STREET BRIDGE"
"214 1655 NELSON STREET","VVWWE","$217,300","3","0","1","429","1973","42",,,"$201.00","$506.53","$219,800","$217,300","1/9/2015",,
"908 1720 BARCLAY STREET","VVWWE","$218,000","94","1","1","577","1970","44","Yes","0","$385.00","$377.82","$219,900","$218,000","3/12/2015","Yes","PARTIAL WATER AND CITY VIEWS"
"412 1655 NELSON STREET","VVWWE","$229,800","74","1","1","467","1973","41","Yes","1","$220.26","$492.08","$239,900","$229,800","3/2/2015","No",
"510 1330 HORNBY STREET","VVWDT","$232,000","34","0","1","408","1986","29","Yes",,"$173.53","$568.63","$245,000","$232,000","3/30/2015","Yes","CITY"
"602 950 DRAKE STREET","VVWDT","$234,000","68","0","1","460","1978","36","Yes","1","$183.31","$508.70","$239,880","$234,000","2/12/2015","Yes","City NE"
"508 1975 PENDRELL STREET","VVWWE","$235,000","2","1","1","420","1957","58","Yes","0","$233.42","$559.52","$229,900","$235,000","2/11/2015",,
"1105 1250 BURNABY STREET","VVWWE","$237,000","125","1","1","430","1968","47","Yes","1","$400.65","$551.16","$245,000","$237,000","4/24/2015","Yes","CITY AND NORTHSHORE VIEWS"
"605 1330 HORNBY STREET","VVWDT","$239,500","30","0","1","408","1986","29","Yes","0","$141.94","$587.01","$244,800","$239,500","2/4/2015","No",
"1008 1850 COMOX STREET","VVWWE","$243,800","26","1","1","582","1968","46","Yes",,"$294.00","$418.90","$249,900","$243,800","1/12/2015","Yes","EASTWARD TOWARD DENMAN STREET"
"109 950 DRAKE STREET","VVWDT","$246,000","6","1","1","462","1978","37","Yes","0","$200.00","$532.47","$249,000","$246,000","3/18/2015","No",
"713 1333 HORNBY STREET","VVWDT","$249,000","1","0","1","462","1974","41","Yes",,"$205.56","$538.96","$256,000","$249,000","3/18/2015","Yes","ENGLISH BAY"
