"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"702 1128 W HASTINGS STREET","VVWCB","$187,000","165","1","1","327","2000","16",,,"$13.02","$571.87","$187,000","$187,000","2/21/2016","Yes","JACK POOLE PLAZA, COAL HARBOUR"
"2902 1128 W HASTINGS STREET","VVWCB","$200,000","2","1","1","327","2000","16",,,"$0.00","$611.62","$200,000","$200,000","1/21/2016","Yes","NE COAL HARBOUR AND NS MTNS"
"1407 1251 CARDERO STREET","VVWWE","$210,000","157","1","1","441","1968","48","Yes","1","$258.00","$476.19","$255,000","$210,000","3/3/2016","Yes","WATER & FALSE CREEK"
"404 1100 HARWOOD STREET","VVWWE","$211,000","9","1","1","439","1966","50","Yes","1","$296.00","$480.64","$210,000","$211,000","3/30/2016","Yes","OVER QUIET HARWOOD STREET"
"601 1250 BURNABY STREET","VVWWE","$211,500","28","0","1","430","1966","50","No","0","$405.35","$491.86","$224,800","$211,500","3/7/2016","Yes","South West City/Ocean"
"504 1250 BURNABY STREET","VVWWE","$235,000","17","1","1","430","1966","50","Yes","1","$407.82","$546.51","$239,000","$235,000","4/28/2016","Yes","OCEAN VIEWS FROM ROOF DECK!"
"201 1534 HARWOOD STREET","VVWWE","$235,000","188","1","1","550","1967","49","No",,"$531.47","$427.27","$239,000","$235,000","1/31/2016","Yes","ENGLISH BAY"
"607 1100 HARWOOD STREET","VVWWE","$239,000","72","1","1","519","1965","51",,,"$372.27","$460.50","$249,000","$239,000","4/7/2016",,
"508 1100 HARWOOD STREET","VVWWE","$249,000","5","0","1","433","1966","50","Yes",,"$293.97","$575.06","$249,000","$249,000","4/17/2016","Yes","CITY/OCEAN"
"206 1250 BURNABY STREET","VVWWE","$260,000","6","1","1","546","1966","50",,"0","$537.33","$476.19","$269,000","$260,000","4/18/2016","No",
"110 1879 BARCLAY STREET","VVWWE","$261,000","26","1","1","622","1955","61","Yes",,"$277.26","$419.61","$265,000","$261,000","2/6/2016","No",
"409 1333 HORNBY STREET","VVWDT","$275,000","1","0","1","462","1976","40","No","0","$225.00","$595.24","$259,000","$275,000","3/8/2016",,
"4 1150 BARCLAY STREET","VVWWE","$277,500","65","1","1","620","1948","68",,"1","$200.00","$447.58","$284,000","$277,500","2/8/2016","No",
"506 1975 PENDRELL STREET","VVWWE","$280,000","17","0","1","420","1957","59","Yes",,"$244.00","$666.67","$289,000","$280,000","3/14/2016",,
"304 1215 PACIFIC STREET","VVWWE","$286,000","15","0","1","449","1978","38","Yes",,"$177.00","$636.97","$258,000","$286,000","3/15/2016","Yes","PARTIAL WATER VIEW"
"104 1333 HORNBY STREET","VVWDT","$289,900","1","0","1","422","1982","34","Yes",,"$192.00","$686.97","$289,900","$289,900","4/5/2016","No",
"801 789 DRAKE STREET","VVWDT","$289,900","0","0","1","400","1991","25","No",,"$195.26","$724.75","$289,900","$289,900","1/6/2016","Yes","CITY VIEW"
"709 1040 PACIFIC STREET","VVWWE","$290,000","6","1","1","508","1981","35",,,"$243.92","$570.87","$269,000","$290,000","2/15/2016",,
"902 1333 HORNBY STREET","VVWDT","$295,000","5","0","1","448","1978","38",,"0","$214.00","$658.48","$289,000","$295,000","2/1/2016",,
"202 1330 HORNBY STREET","VVWDT","$298,000","9","0","1","408","1986","30","Yes","0","$178.88","$730.39","$299,000","$298,000","3/24/2016","No",
"210 1330 BURRARD STREET","VVWDT","$306,000","6","0","1","463","1976","40",,"0","$199.93","$660.91","$299,000","$306,000","1/25/2016","Yes","Burrard Bridge"
"1806 1238 SEYMOUR STREET","VVWDT","$307,000","5","0","1","371","1996","20","Yes",,"$162.77","$827.49","$300,000","$307,000","2/8/2016","Yes","SOUTH EAST"
"1207 1003 PACIFIC STREET","VVWWE","$309,700","13","0","1","422","1997","19","No","1","$210.85","$733.89","$299,900","$309,700","2/14/2016","Yes","CITY VIEWS"
"1001 789 DRAKE STREET","VVWDT","$311,000","43","0","1","384","1991","25","No","0","$188.94","$809.90","$286,000","$311,000","3/16/2016","Yes","PARTIAL VIEW OF WATER & DOWNTO"
"807 1250 BURNABY STREET","VVWWE","$312,000","6","1","1","540","1966","50","No","0","$532.00","$577.78","$288,800","$312,000","3/20/2016","Yes","CITY & OCEAN SOUTH/S-WEST"
"705 1330 HORNBY STREET","VVWDT","$313,800","3","0","1","408","1986","30","Yes","0","$178.88","$769.12","$318,000","$313,800","4/21/2016","Yes","DOWNTOWN VIEW"
"1808 1850 COMOX STREET","VVWWE","$317,000","8","1","1","582","1968","48","Yes","0","$294.00","$544.67","$274,900","$317,000","4/26/2016","Yes","UNOBSTRUCTED CITY VIEWS"
"404 1330 HORNBY STREET","VVWDT","$317,000","50","0","1","442","1986","30",,,"$192.57","$717.19","$319,000","$317,000","3/17/2016",,
"222 1330 BURRARD STREET","VVWDT","$320,000","3","1","1","538","1978","38","Yes",,"$262.13","$594.80","$320,000","$320,000","1/7/2016","No",
"504 1330 HARWOOD STREET","VVWWE","$322,000","40","1","1","620","1970","46",,"1","$328.00","$519.35","$334,900","$322,000","1/25/2016","No",
"501 1045 HARO STREET","VVWWE","$325,000","0","0","1","449","1980","36","No",,"$149.60","$723.83","$299,000","$325,000","3/21/2016",,
"907 1330 BURRARD STREET","VVWDT","$325,000","6","0","1","465","1976","40",,,"$201.66","$698.92","$322,000","$325,000","2/3/2016","Yes","COURTYARD"
"204 1146 HARWOOD STREET","VVWWE","$330,000","7","1","1","500","1974","42","Yes","1","$241.11","$660.00","$319,000","$330,000","4/5/2016","No",
"902 1330 BURRARD STREET","VVWDT","$330,100","8","1","1","464","1976","40","Yes",,"$195.59","$711.42","$328,800","$330,100","2/16/2016","Yes","WEST OCEAN & CITY"
"503 1850 COMOX STREET","VVWWE","$333,000","7","1","1","651","1968","48","Yes","1","$332.00","$511.52","$299,900","$333,000","4/12/2016","Yes","ENGLISH BAY VIEWS"
"412 1718 NELSON STREET","VVWWE","$334,000","9","1","1","469","1975","41","Yes","1","$270.00","$712.15","$299,900","$334,000","1/28/2016","Yes","CITY VIEWS"
"108 1169 NELSON STREET","VVWWE","$335,000","7","1","1","642","1981","35","Yes","1","$371.89","$521.81","$339,900","$335,000","2/16/2016","Yes","Garden View"
"1006 1146 HARWOOD STREET","VVWWE","$340,000","5","1","1","585","1974","42","Yes",,"$280.54","$581.20","$349,000","$340,000","2/15/2016","Yes","City and Peek a boo water"
"811 1333 W GEORGIA STREET","VVWCB","$340,000","21","0","1","420","2006","10","Yes",,"$195.26","$809.52","$348,900","$340,000","1/11/2016","Yes","CITY"
"603 63 KEEFER PLACE","VVWDT","$342,000","6","0","1","427","2000","16","Yes","1","$231.41","$800.94","$308,888","$342,000","2/15/2016","Yes","ON TO GREEN SPACE"
"203 1315 CARDERO STREET","VVWWE","$345,000","20","1","1","620","1957","59","Yes",,"$243.72","$556.45","$349,000","$345,000","2/21/2016","Yes","SEASONAL VIEWS OF ENG BAY"
"305 1246 CARDERO STREET","VVWWE","$345,000","111","1","1","800","1949","67",,,"$299.00","$431.25","$349,000","$345,000","1/19/2016",,
"806 1146 HARWOOD STREET","VVWWE","$347,000","18","1","1","585","1976","40","Yes",,"$284.50","$593.16","$359,900","$347,000","3/22/2016","Yes","CITY"
