"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"212 838 HAMILTON STREET","VVWDT","$178,008","6","1","1","317","1995","24","No",,"$328.34","$561.54","$178,000","$178,008","10/7/2019",,
"710 838 HAMILTON STREET","VVWDT","$208,000","7","1","1","414","1994","25","No","0","$428.51","$502.42","$189,900","$208,000","5/29/2019","No",
"314 838 HAMILTON STREET","VVWDT","$215,000","2","1","1","439","1994","25","No","0","$454.11","$489.75","$228,800","$215,000","7/24/2019","No",
"204 1250 N BURNABY STREET","VVWWE","$225,000","229","0","1","430","1966","53",,"0","$482.92","$523.26","$260,000","$225,000","6/15/2019","No",
"1005 1250 BURNABY STREET","VVWWE","$231,500","2","0","1","430","1964","55",,,"$450.00","$538.37","$225,000","$231,500","2/8/2019","Yes","NORTH FACING CITY & MOUNTAIN"
"601 1250 BURNABY STREET","VVWWE","$270,000","32","0","1","430","1966","53","No","0","$488.58","$627.91","$288,000","$270,000","8/9/2019","Yes","OCEAN VIEW"
"704 1250 BURNABY STREET","VVWWE","$275,000","9","0","1","430","1966","53",,"0","$482.92","$639.53","$299,000","$275,000","4/24/2019","Yes","City"
"204 1100 HARWOOD STREET","VVWWE","$280,000","8","1","1","430","1965","54",,,"$352.09","$651.16","$300,000","$280,000","1/11/2019",,
"1008 1250 BURNABY STREET","VVWWE","$296,000","3","0","1","430","1966","53","No","0","$482.54","$688.37","$299,000","$296,000","9/19/2019","Yes","OCEAN VIEWS"
"1403 1330 HARWOOD STREET","VVWWE","$296,000","2","0","1","442","1970","49","Yes","1","$243.00","$669.68","$284,000","$296,000","3/7/2019","Yes","Mountain Views"
"2007 1251 CARDERO STREET","VVWWE","$299,000","6","1","1","439","1968","51",,"1","$320.00","$681.09","$299,000","$299,000","10/7/2019","Yes","Panoramic city and False Creek"
