"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"302 1219 HARWOOD STREET","VVWWE","$245,000","6","1","1","550","1967","49",,,,"$445.45","$230,000","$245,000","5/1/2016",,
"108 1879 BARCLAY STREET","VVWWE","$248,000","80","0","1","450","1955","61","Yes","1","$221.00","$551.11","$248,800","$248,000","5/2/2016","Yes","TREE LINED OUTLOOK"
"502 1534 HARWOOD STREET","VVWWE","$249,000","7","1","1","535","1966","50","No","0","$541.35","$465.42","$239,000","$249,000","5/16/2016","Yes","NORTH WEST OCEAN VIEW"
"306 1251 CARDERO STREET","VVWWE","$260,000","8","1","1","505","1966","50","Yes","0","$287.00","$514.85","$229,000","$260,000","5/17/2016","Yes","TREED OUTLOOK"
"507 1250 BURNABY STREET","VVWWE","$270,000","18","1","1","540","1966","50","No","0","$542.14","$500.00","$288,000","$270,000","8/14/2016","Yes","Some water and city"
"1005 1720 BARCLAY STREET","VVWWE","$284,000","1","1","1","577","1970","46","Yes","1","$425.00","$492.20","$284,900","$284,000","5/8/2016","Yes","UNOBSTRUCTED MOUNTAIN & CITY"
"307 1250 BURNABY STREET","VVWWE","$290,000","15","1","1","582","1966","50",,"0","$542.14","$498.28","$298,000","$290,000","8/27/2016","Yes","STUNNING WATER VIEW - COMMON"
"705 1146 HARWOOD STREET","VVWWE","$330,000","5","1","1","500","1975","41",,,"$241.11","$660.00","$339,900","$330,000","5/3/2016","Yes","DOWNTOWN/CITYSCAPE"
"301 1850 COMOX STREET","VVWWE","$338,000","8","1","1","582","1968","48","Yes","1","$294.00","$580.76","$319,000","$338,000","7/26/2016","Yes","CITY VIEWS"
"803 63 KEEFER PLACE","VVWDT","$338,888","9","0","1","427","2000","16","Yes",,"$231.41","$793.65","$338,888","$338,888","8/17/2016","Yes","CITY VIEWS"
"112 1655 NELSON STREET","VVWWE","$341,500","4","0","1","487","1974","42","Yes",,"$244.87","$701.23","$349,800","$341,500","8/6/2016","Yes","Greenery"
"313 1045 HARO STREET","VVWWE","$348,000","2","1","1","437","1981","35",,,"$157.47","$796.34","$299,900","$348,000","5/5/2016","No",
"1905 1075 COMOX STREET","VVWWE","$355,000","47","1","1","615","1970","46","Yes","0","$291.28","$577.24","$379,000","$355,000","8/23/2016","Yes","DOWNTOWN CITY VIEW"
"422 1333 HORNBY STREET","VVWDT","$357,000","10","1","1","544","1982","34","No",,"$257.72","$656.25","$299,000","$357,000","5/9/2016","Yes","GARDEN"
"805 1330 HORNBY STREET","VVWDT","$358,000","4","0","1","408","1986","30","Yes","0","$190.00","$877.45","$324,900","$358,000","6/18/2016","Yes","WATER VIEWS"
"703 1188 HOWE STREET","VVWDT","$358,400","37","1","1","484","1995","21","Yes","1","$256.14","$740.50","$358,900","$358,400","5/5/2016","Yes","CITY"
"404 1050 CHILCO STREET","VVWWE","$359,900","25","1","1","600","1957","59","Yes","1","$267.16","$599.83","$359,900","$359,900","5/6/2016","Yes","PEEK-A-BOO BAY VIEW"
"407 1330 HORNBY STREET","VVWDT","$360,000","7","0","1","439","1986","30","Yes",,"$206.04","$820.05","$329,000","$360,000","6/27/2016",,
"605 1003 BURNABY STREET","VVWWE","$361,500","13","0","1","410","1999","17","No","1","$228.10","$881.71","$358,900","$361,500","8/24/2016","Yes","City and some water."
"203 910 BEACH AVENUE","VVWYA","$363,000","50","0","1","413","1997","19","No","1","$249.88","$878.93","$375,000","$363,000","6/13/2016","No",
"604 1270 ROBSON STREET","VVWWE","$370,000","7","1","1","533","1980","36",,,"$200.68","$694.18","$368,000","$370,000","7/6/2016","Yes","."
"707 1146 HARWOOD STREET","VVWWE","$374,000","0","1","1","590","1975","41","Yes",,"$284.50","$633.90","$379,900","$374,000","5/2/2016","Yes","WATER"
"508 1270 ROBSON STREET","VVWWE","$375,000","13","1","1","535","1981","35","Yes","0","$201.67","$700.93","$385,000","$375,000","8/29/2016","Yes","CITY VIEWS"
"401 233 ABBOTT STREET","VVWDT","$375,000","5","0","1","567","1996","20","No",,"$254.85","$661.38","$349,900","$375,000","7/30/2016",,
"106 1535 NELSON STREET","VVWWE","$375,000","8","1","1","692","1975","41","Yes","1","$315.00","$541.91","$375,000","$375,000","5/10/2016","No",
"1504 1146 HARWOOD STREET","VVWWE","$375,000","7","1","1","510","1974","42","No","1","$241.00","$735.29","$359,000","$375,000","5/24/2016","Yes","CITY"
"506 1238 RICHARDS STREET","VVWYA","$380,000","8","0","1","468","1999","17","Yes","0","$225.00","$811.97","$360,000","$380,000","6/14/2016","Yes","PARK & CITY"
"402 1238 RICHARDS STREET","VVWYA","$380,000","29","1","1","444","1998","18","Yes","0","$213.00","$855.86","$388,888","$380,000","7/27/2016","Yes","SUNNY SOUTH"
"411 1216 HOMER STREET","VVWYA","$382,000","15","0","1","398","1997","19","Yes","0","$220.52","$959.80","$389,000","$382,000","6/18/2016","No",
"305 1155 SEYMOUR STREET","VVWDT","$385,000","21","0","1","475","2005","11","Yes","0","$210.09","$810.53","$388,000","$385,000","8/30/2016","Yes","VIEW OF EMERY BARNES PARK"
"1504 1330 HARWOOD STREET","VVWWE","$385,000","25","1","1","621","1970","46","Yes","1","$325.97","$619.97","$350,000","$385,000","7/22/2016","Yes","CITY, MNTNS, WATER, FALSE CR"
"703 1315 CARDERO STREET","VVWWE","$385,000","8","1","1","620","1957","59","Yes","0","$292.46","$620.97","$369,900","$385,000","5/3/2016","Yes","WEST END/PARTIAL WATER"
"212 1010 HOWE STREET","VVWDT","$385,000","6","1","1","531","1982","34",,,"$283.00","$725.05","$358,000","$385,000","5/2/2016",,
"208 1106 PACIFIC STREET","VVWWE","$386,000","5","1","1","552","1984","32","Yes","1","$221.16","$699.28","$349,000","$386,000","5/30/2016","No",
"204 1649 COMOX STREET","VVWWE","$387,000","5","1","1","593","1978","38","Yes","1","$270.60","$652.61","$362,000","$387,000","5/2/2016","No","City Outlook"
"409 1177 HORNBY STREET","VVWDT","$389,900","37","1","1","640","1995","21",,"1","$295.00","$609.22","$389,900","$389,900","5/4/2016",,
"312 819 HAMILTON STREET","VVWDT","$390,000","8","1","1","415","1998","18","Yes","0","$191.84","$939.76","$379,000","$390,000","6/22/2016",,
"1802 1251 CARDERO STREET","VVWWE","$390,000","8","1","1","592","1966","50","Yes","1","$358.00","$658.78","$389,900","$390,000","7/26/2016","Yes","UNOBSTRUCTED ENGLISH BAY VIEWS"
"2202 1251 CARDERO STREET","VVWWE","$392,000","12","1","1","592","1968","48","Yes","1","$358.00","$662.16","$379,000","$392,000","6/1/2016","Yes","ENGLISH BAY & MOUNTAINS"
"703 1188 HOWE STREET","VVWDT","$395,000","19","1","1","484","1995","21","Yes","1","$256.14","$816.12","$399,000","$395,000","8/21/2016",,
"305 1743 PENDRELL STREET","VVWWE","$395,000","22","1","1","650","1955","61","Yes","1","$265.82","$607.69","$369,000","$395,000","5/3/2016",,
"610 438 SEYMOUR STREET","VVWDT","$396,000","10","1","1","538","1996","20","Yes","1","$383.55","$736.06","$381,000","$396,000","6/3/2016",,
"207 1106 PACIFIC STREET","VVWWE","$398,000","18","1","1","552","1984","32","Yes","1","$221.16","$721.01","$398,000","$398,000","8/29/2016",,
