"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"2112 1128 W HASTINGS STREET","VVWCB","$149,800","130","0","1","325","2000","14",,,"$15.83","$460.92","$159,800","$149,800","10/17/2014","Yes","CITY"
"1901 1128 W HASTINGS STREET","VVWCB","$149,800","50","0","1","320","2000","14",,"0","$0.00","$468.13","$149,800","$149,800","7/29/2014","Yes","WATER & MOUNTAIN"
"1605 1128 W HASTINGS STREET","VVWCB","$158,800","241","1","1","347","2000","13","No",,"$13.67","$457.64","$162,000","$158,800","7/28/2014","Yes","City"
"2115 1128 W HASTINGS STREET","VVWCB","$159,800","130","0","1","325","2000","14",,"0","$80.00","$491.69","$159,800","$159,800","10/17/2014","Yes","CITY"
"209 1055 HARWOOD STREET","VVWWE","$160,000","16","0","1","412","1949","65","Yes","0","$162.50","$388.35","$169,000","$160,000","7/28/2014","No",
"108 1250 BURNABY STREET","VVWWE","$176,400","7","0","1","430","1966","48",,,"$397.40","$410.23","$184,500","$176,400","7/9/2014",,
"208 1251 CARDERO STREET","VVWWE","$180,000","45","1","1","612","1968","46","Yes","0","$325.00","$294.12","$185,000","$180,000","12/2/2014","Yes","TREED OUTLOOK"
"101 1743 PENDRELL STREET","VVWWE","$182,000","58","0","1","420","9999","999",,,"$168.11","$433.33","$199,900","$182,000","9/21/2014",,
"303 1534 HARWOOD STREET","VVWWE","$185,000","51","1","1","545","1966","48",,,"$541.35","$339.45","$205,000","$185,000","10/3/2014","No",
"804 1219 HARWOOD STREET","VVWWE","$185,000","6","1","1","550","1967","47",,,"$350.00","$336.36","$179,000","$185,000","10/22/2014",,
"304 1100 HARWOOD STREET","VVWWE","$195,000","11","1","1","430","1966","48",,"0","$332.59","$453.49","$199,900","$195,000","7/5/2014","Yes","ROOFTOP DECK VIEWS WITH ROOF TOP SWIMMING POOL"
"804 1250 BURNABY STREET","VVWWE","$198,000","57","0","1","430","1966","48","Yes","1","$392.80","$460.47","$199,000","$198,000","11/12/2014","Yes","MOUNTAINS"
"107 1655 NELSON STREET","VVWWE","$199,800","40","0","1","456","1974","40","Yes","1","$211.39","$438.16","$199,800","$199,800","10/20/2014",,
"112 1655 NELSON STREET","VVWWE","$199,900","6","0","1","467","1976","38","Yes","0","$214.00","$428.05","$199,900","$199,900","9/9/2014","Yes","PLEASANT TREED OUTLOOK"
"1101 1219 HARWOOD STREET","VVWWE","$200,000","200","1","1","550","1967","47",,,"$348.60","$363.64","$229,000","$200,000","12/9/2014","Yes","CITY & MOUNTAINS"
"1101 1250 BURNABY STREET","VVWWE","$214,000","20","1","1","430","1964","50","Yes","1","$397.00","$497.67","$228,000","$214,000","9/28/2014","Yes","South/West Ocean Views"
"207 1100 HARWOOD STREET","VVWWE","$215,000","19","1","1","540","1966","48","No",,"$311.00","$398.15","$219,900","$215,000","10/7/2014","Yes","WATERVIEW & ROOFTOP DECK VIEWS"
