"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"2917 1128 W HASTINGS STREET","VVWCB","$157,000","211","1","1","354","1998","15","No",,"$14.95","$443.50","$199,000","$157,000","5/25/2014","Yes","HARBOUR, MOUNTAINS, LIONS GATE BRIDGE"
"304 1055 HARWOOD STREET","VVWWE","$165,000","19","0","1","400","1947","67","Yes","0","$190.00","$412.50","$169,900","$165,000","3/16/2014","No",
"205 1100 HARWOOD STREET","VVWWE","$180,000","4","1","1","430","1966","48",,,"$297.56","$418.60","$184,900","$180,000","6/6/2014",,
"404 1100 HARWOOD STREET","VVWWE","$188,000","42","1","1","430","1966","48","Yes",,"$332.59","$437.21","$195,000","$188,000","5/20/2014",,
"703 1330 HARWOOD STREET","VVWWE","$190,000","70","0","1","430","1970","43","Yes","1","$218.82","$441.86","$205,000","$190,000","1/10/2014","Yes","City View"
"102 1330 HARWOOD STREET","VVWWE","$193,000","32","1","1","555","1970","44",,"1","$270.39","$347.75","$204,000","$193,000","3/25/2014",,
"402 1534 HARWOOD STREET","VVWWE","$197,500","40","1","1","550","1967","47","Yes","0","$541.35","$359.09","$205,000","$197,500","2/22/2014","Yes","Water from Balcony & Kitchen"
"904 1333 HORNBY STREET","VVWDT","$207,500","1","0","1","449","1979","35","No","1","$125.00","$462.14","$219,000","$207,500","3/13/2014","Yes","CITY OUTLOOK"
"102 1940 BARCLAY STREET","VVWWE","$210,000","156","0","1","355","1958","56","Yes",,"$164.54","$591.55","$220,000","$210,000","6/16/2014","No",
"504 1251 CARDERO STREET","VVWWE","$210,000","14","1","1","600","1964","50","Yes","0","$431.00","$350.00","$225,000","$210,000","5/21/2014","Yes","SOME VIEWS OF ENGLISH BAY & N. SHORE MOUNTAINS"
"702 1219 HARWOOD STREET","VVWWE","$212,000","11","1","1","550","1967","47",,"1","$342.00","$385.45","$218,000","$212,000","5/3/2014","Yes","Water Views!"
"703 1330 HORNBY STREET","VVWDT","$215,000","69","0","1","438","1986","28",,,"$186.00","$490.87","$239,000","$215,000","5/27/2014","No",
"308 1720 BARCLAY STREET","VVWWE","$215,000","7","1","1","572","1970","44","Yes","1","$385.00","$375.87","$215,000","$215,000","1/8/2014","Yes","SOUTH TO THE POOL"
"203 2055 PENDRELL STREET","VVWWE","$216,900","21","0","1","534","1965","49","Yes","1","$439.29","$406.18","$219,900","$216,900","3/24/2014","No",
"702 950 DRAKE STREET","VVWDT","$219,000","14","0","1","460","1979","35","No",,"$183.31","$476.09","$225,000","$219,000","4/18/2014","Yes","CITY VIEW"
"401 1330 BURRARD STREET","VVWDT","$220,000","13","0","1","462","1978","36","Yes","1","$200.38","$476.19","$229,000","$220,000","4/7/2014","No",
"504 1534 HARWOOD STREET","VVWWE","$220,000","2","1","1","540","1967","47","Yes",,"$531.47","$407.41","$220,000","$220,000","4/9/2014","Yes","FALSE CREEK & ENGLISH BAY"
"1006 1330 HARWOOD STREET","VVWWE","$221,000","5","0","1","430","1970","44","Yes","1","$202.37","$513.95","$209,900","$221,000","4/27/2014","Yes","Stunning English Bay Water view"
"212 1655 NELSON STREET","VVWWE","$222,000","7","0","1","467","1974","40","Yes","1","$220.26","$475.37","$225,000","$222,000","1/20/2014",,
"506 1250 BURNABY STREET","VVWWE","$222,000","7","1","1","550","1966","48","Yes","0","$517.54","$403.64","$225,000","$222,000","4/14/2014","Yes","."
"301 1250 BURNABY STREET","VVWWE","$223,000","71","1","1","430","1968","46","Yes","0","$397.00","$518.60","$228,000","$223,000","4/22/2014","Yes","OCEAN"
"805 1330 HORNBY STREET","VVWDT","$223,000","6","0","1","408","1986","28","Yes",,"$173.53","$546.57","$225,000","$223,000","6/26/2014","Yes","water views"
"305 1720 BARCLAY STREET","VVWWE","$227,000","66","1","1","577","1970","44","Yes","1","$385.00","$393.41","$229,900","$227,000","3/14/2014","Yes","TREE LINED STREET"
"808 950 DRAKE STREET","VVWDT","$229,000","6","0","1","474","1978","36","Yes",,"$180.92","$483.12","$229,000","$229,000","3/2/2014","Yes","City"
"308 950 DRAKE STREET","VVWDT","$229,900","10","0","1","455","1978","36","Yes","0","$181.32","$505.27","$229,900","$229,900","5/2/2014",,
"704 1250 BURNABY STREET","VVWWE","$230,000","25","0","1","430","1968","46",,"0","$397.00","$534.88","$238,000","$230,000","4/4/2014","Yes","City and Mountains"
"1008 1250 BURNABY STREET","VVWWE","$230,000","31","1","1","430","1968","46","Yes","1","$397.00","$534.88","$248,000","$230,000","6/5/2014","Yes","South, East & West Ocean Views"
"916 950 DRAKE STREET","VVWDT","$231,500","27","0","1","463","1978","36","Yes",,"$184.50","$500.00","$239,000","$231,500","5/8/2014","Yes","CITY"
"508 950 DRAKE STREET","VVWDT","$235,000","65","0","1","461","1978","36","Yes",,"$180.92","$509.76","$239,900","$235,000","5/15/2014","Yes","City"
"1004 1330 HARWOOD STREET","VVWWE","$235,000","46","1","1","620","1970","44","Yes","1","$320.00","$379.03","$259,000","$235,000","3/2/2014","Yes","Mountain & City View"
"707 1720 BARCLAY STREET","VVWWE","$236,000","8","1","1","638","1970","44","Yes","1","$385.00","$369.91","$239,900","$236,000","5/20/2014","Yes","MOUNTAIN & SOME WATER VIEWS"
"405 989 NELSON STREET","VVWDT","$238,000","16","0","1","330","1995","19","Yes",,"$194.94","$721.21","$244,888","$238,000","5/14/2014",,
"805 989 NELSON STREET","VVWDT","$240,000","174","0","1","329","1995","18","Yes",,"$194.94","$729.48","$244,800","$240,000","3/11/2014","Yes","CITY, WALL CENTRE, GARDENS"
"1206 1330 HARWOOD STREET","VVWWE","$240,000","43","0","1","430","1970","44","Yes","1","$202.00","$558.14","$258,000","$240,000","5/14/2014","Yes","UNOBSTRUCTED OCEAN VIEWS"
"1105 1250 BURNABY STREET","VVWWE","$240,500","28","1","1","430","1968","46","Yes","1","$392.80","$559.30","$248,000","$240,500","6/30/2014","Yes","City & Mountain Views"
"211 1216 HOMER STREET","VVWYA","$248,000","40","0","1","395","1912","102","No",,"$169.53","$627.85","$259,900","$248,000","4/1/2014","No","OUTLOOK ON HISTORIC YALETOWN"
