"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"1112 838 HAMILTON STREET","VVWDT","$171,500","15","1","1","450","1995","22",,,"$416.66","$381.11","$179,000","$171,500","9/8/2017","Yes","GARDEN ON THE NORTH"
"808 1250 BURNABY STREET","VVWWE","$231,000","4","0","1","430","1966","51",,,"$412.60","$537.21","$229,999","$231,000","11/26/2017","Yes","OCEAN / WATER VIEW"
"308 1250 BURNABY STREET","VVWWE","$280,000","3","0","1","430","1966","51","No","0","$412.60","$651.16","$289,000","$280,000","12/1/2017","Yes","Water, city & mtns"
"804 1250 BURNABY STREET","VVWWE","$290,000","0","1","1","430","1966","51",,,"$407.82","$674.42","$298,800","$290,000","10/10/2017",,
"702 1534 HARWOOD STREET","VVWWE","$315,000","69","1","1","550","1967","50","Yes","0","$541.35","$572.73","$348,000","$315,000","9/3/2017","Yes","PARTIAL - NW OCEAN VIEW"
"603 1250 BURNABY STREET","VVWWE","$335,000","3","1","1","540","1966","51",,,"$537.33","$620.37","$329,900","$335,000","12/2/2017",,
"301 1045 BURNABY STREET","VVWWE","$350,000","7","0","1","434","1977","40","Yes","1","$173.13","$806.45","$399,900","$350,000","10/24/2017","No",
"1002 1100 HARWOOD STREET","VVWWE","$355,000","9","1","1","531","1966","51","No",,"$382.99","$668.55","$345,000","$355,000","9/20/2017","Yes","CITY & WATER VIEWS"
"2108 1251 CARDERO STREET","VVWWE","$375,000","0","1","1","651","1968","49","Yes","1","$900.00","$576.04","$400,000","$375,000","11/1/2017","Yes","Excellent Ocean + City Views"
"216 1189 HOWE STREET","VVWDT","$400,000","13","0","1","415","1999","19","No","1","$222.27","$963.86","$450,000","$400,000","12/17/2017",,
"205 1940 BARCLAY STREET","VVWWE","$411,000","1","0","1","401","1959","58","Yes",,"$222.86","$1,024.94","$410,000","$411,000","10/31/2017","No",
"1202 1100 HARWOOD STREET","VVWWE","$425,000","4","1","1","618","1966","51",,,"$434.79","$687.70","$425,000","$425,000","9/15/2017","Yes","English Bay- Mountain- City"
"909 1367 ALBERNI STREET","VVWWE","$448,000","15","0","1","396","1999","18","Yes","1","$212.45","$1,131.31","$448,000","$448,000","9/6/2017","Yes","MOUNTAINS & CITY"
"1806 1238 SEYMOUR STREET","VVWDT","$450,000","8","0","1","371","1996","21","Yes","0","$170.91","$1,212.94","$399,900","$450,000","12/5/2017","Yes","City & False Creek"
"801 1967 BARCLAY STREET","VVWWE","$460,000","1","0","1","428","1970","47","Yes","1","$256.31","$1,074.77","$458,000","$460,000","9/4/2017","Yes","MOUNTAIN, STANLEY PARK & CITY"
"1606 1850 COMOX STREET","VVWWE","$462,500","7","1","1","648","1968","49","Yes",,"$332.00","$713.73","$469,000","$462,500","11/30/2017","Yes","Ocean & City"
"212 1940 BARCLAY STREET","VVWWE","$463,000","11","0","1","401","1959","58","No",,"$228.53","$1,154.61","$410,000","$463,000","11/21/2017",,
"1505 1003 BURNABY STREET","VVWWE","$470,000","6","0","1","400","1999","18","Yes","1","$237.72","$1,175.00","$438,000","$470,000","9/12/2017","Yes","CITY AND ENGLISH BAY"
"314 989 NELSON STREET","VVWDT","$477,000","1","1","1","620","1995","22",,,"$384.00","$769.35","$489,900","$477,000","10/18/2017","Yes","Hornby Street (Courthouse)"
