"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"900 433 ROBSON STREET","VVWDT","$165,000","8","1","1","469","1999","18","No",,"$298.60","$351.81","$169,000","$165,000","2/7/2017","Yes","TO THE SOUTH"
"1814 838 HAMILTON STREET","VVWDT","$178,000","48","1","1","439","1995","22",,"0","$423.38","$405.47","$178,000","$178,000","2/15/2017",,
"607 1128 W HASTINGS STREET","VVWCB","$220,000","109","1","1","198","2000","17",,,"$10.00","$1,111.11","$245,000","$220,000","3/2/2017",,
"402 1251 CARDERO STREET","VVWWE","$225,000","19","1","1","592","1968","49","Yes","0","$358.00","$380.07","$235,000","$225,000","2/25/2017","Yes","LITTLE WATER & MOUNTAIN"
"1707 1251 CARDERO STREET","VVWWE","$228,000","10","1","1","505","1968","49","Yes","1","$287.00","$451.49","$219,000","$228,000","2/17/2017","Yes","CITY, MOUNTAINS & SOME WATER"
"503 1251 CARDERO STREET","VVWWE","$235,101","2","1","1","592","1968","49","Yes","1","$358.00","$397.13","$235,000","$235,101","2/16/2017","Yes","URBAN VIEW"
"1108 1100 HARWOOD STREET","VVWWE","$260,000","5","0","1","433","1966","51",,,"$302.02","$600.46","$250,000","$260,000","2/14/2017","Yes","City & Ocean"
"306 1330 HARWOOD STREET","VVWWE","$260,000","3","0","1","430","1970","47","Yes","1","$206.95","$604.65","$235,000","$260,000","1/19/2017","Yes","City And Slight Water Views"
"1821 1128 W HASTINGS STREET","VVWCB","$270,000","3","0","1","362","1997","20",,,"$19.42","$745.86","$288,000","$270,000","2/2/2017","Yes","WATER VIEW"
"908 1250 BURNABY STREET","VVWWE","$289,000","1","1","1","430","1968","49","Yes","1","$407.82","$672.09","$288,000","$289,000","1/31/2017","Yes","Ocean & City"
"304 1975 PENDRELL STREET","VVWWE","$295,000","3","0","1","420","1957","60","Yes","1","$253.15","$702.38","$298,000","$295,000","2/10/2017",,
"107 1250 BURNABY STREET","VVWWE","$299,000","15","1","1","582","1966","51",,"0","$551.75","$513.75","$299,000","$299,000","2/16/2017","No",
"103 1250 BURNABY STREET","VVWWE","$304,800","9","1","1","625","1966","51","No",,"$583.18","$487.68","$309,000","$304,800","2/1/2017","No",
"704 1219 HARWOOD STREET","VVWWE","$305,500","8","1","1","596","1969","48","No","0","$336.04","$512.58","$300,000","$305,500","3/17/2017","Yes","ENGLISH BAY FROM ROOFTOP DECK"
"206 1720 BARCLAY STREET","VVWWE","$311,000","8","1","1","580","1970","47","Yes","1","$425.00","$536.21","$299,900","$311,000","3/14/2017","No",
"2019 1128 W HASTINGS STREET","VVWCB","$338,000","7","0","1","449","2000","17","No",,"$24.81","$752.78","$353,800","$338,000","3/7/2017","No",
"601 1108 NICOLA STREET","VVWWE","$348,000","65","0","1","485","1977","40","No","0","$261.30","$717.53","$349,900","$348,000","2/8/2017","Yes","PEEK-A-BOO ENGLISH BAY"
"508 1330 HARWOOD STREET","VVWWE","$350,000","55","1","1","620","1970","47",,"1","$305.00","$564.52","$359,900","$350,000","1/23/2017","Yes","VIEW TOWARDS PLANETARIUM"
"101 1330 HARWOOD STREET","VVWWE","$355,000","5","1","1","620","1970","47","Yes","1","$304.83","$572.58","$338,000","$355,000","4/8/2017","Yes","COURT YARD"
"1801 1075 COMOX STREET","VVWWE","$360,000","40","1","1","607","1974","43","No","0","$291.23","$593.08","$365,000","$360,000","1/7/2017","Yes","WATER AND PARK VIEW"
"708 1330 HARWOOD STREET","VVWWE","$362,000","9","1","1","620","1970","47","Yes","1","$305.00","$583.87","$349,800","$362,000","2/15/2017","Yes","Excellent Water View"
"308 1230 HARO STREET","VVWWE","$365,000","12","0","1","435","1986","31","Yes","1","$248.51","$839.08","$369,000","$365,000","3/4/2017","Yes","Treed Walking street"
"102 1108 NICOLA STREET","VVWWE","$374,000","14","0","1","495","1975","42","No","0","$273.00","$755.56","$378,000","$374,000","4/1/2017","No",
"404 1050 CHILCO STREET","VVWWE","$380,000","10","1","1","600","1957","60","Yes","0","$267.16","$633.33","$385,000","$380,000","2/12/2017","No",
"1109 1283 HOWE STREET","VVWDT","$381,500","1","1","1","491","2018","0","Yes","0","$186.58","$776.99","$385,000","$381,500","1/17/2017",,
"1209 1238 SEYMOUR STREET","VVWDT","$386,000","6","0","1","371","1996","21","Yes","0","$166.03","$1,040.43","$369,900","$386,000","3/14/2017","Yes","City and Water Views"
"401 1188 RICHARDS STREET","VVWYA","$393,100","6","0","1","415","1995","22","No","1","$146.16","$947.23","$369,000","$393,100","1/16/2017","Yes","EMERY BARNES PARK"
"205 1010 HOWE STREET","VVWDT","$398,000","11","1","1","504","1982","35","Yes",,"$260.45","$789.68","$399,000","$398,000","3/10/2017","Yes","City"
